YearMonth,MonthStart,CourseCategory,Enrollments
2025-11,2025-11-01,Programming,73
2025-11,2025-11-01,Web Development,67
2025-11,2025-11-01,Marketing,81
2025-11,2025-11-01,Machine Learning,60
2025-11,2025-11-01,Finance,67
2025-11,2025-11-01,Cybersecurity,74
2025-11,2025-11-01,Design,72
2025-11,2025-11-01,Data Science,73
2025-11,2025-11-01,Business,71
2025-11,2025-11-01,Artificial Intelligence,79
2025-11,2025-11-01,Digital Marketing,75
2025-12,2025-12-01,Programming,61
2025-12,2025-12-01,Marketing,60
2025-12,2025-12-01,Machine Learning,65
2025-12,2025-12-01,Finance,71
2025-12,2025-12-01,Digital Marketing,59
2025-12,2025-12-01,Data Science,81
2025-12,2025-12-01,Cybersecurity,67
2025-12,2025-12-01,Business,63
2025-12,2025-12-01,Artificial Intelligence,70
2025-12,2025-12-01,Project Management,66
2025-12,2025-12-01,Design,78
2025-12,2025-12-01,Web Development,77
