UserID,UserName,Age,AgeGroup,Gender,EnrollmentCount
U00102,vweiss,32,26–35,Male,1
U00103,felicia29,30,26–35,Female,1
U00104,diazsara,19,18–25,Male,1
U00105,smithjacqueline,27,26–35,Male,1
U00106,sharonmurphy,19,18–25,Male,2
U00107,hayley84,18,18–25,Female,1
U00108,jowen,32,26–35,Male,2
U00109,amyschmidt,15,<18,Female,14
U00110,thorntondaniel,26,26–35,Female,1
U00111,cynthia90,24,18–25,Male,1
U00112,williamswilliam,34,26–35,Female,14
U00113,becky55,19,18–25,Male,1
U00114,lvasquez,22,18–25,Female,1
U00115,mitchellswanson,32,26–35,Female,1
U00116,schultzaustin,31,26–35,Male,1
U00117,kristin26,19,18–25,Female,13
U00118,morankevin,28,26–35,Female,1
U00119,phillipsrobert,28,26–35,Male,1
U00120,faguilar,15,<18,Male,2
U00121,htanner,27,26–35,Female,2
U00122,derekgreer,21,18–25,Female,2
U00123,richardsonjames,18,18–25,Female,2
U00124,christinagilbert,19,18–25,Female,2
U00125,michelle70,35,26–35,Female,2
U00126,zhall,23,18–25,Female,14
U00127,brian60,34,26–35,Female,3
U00128,misty15,35,26–35,Female,13
U00129,sabrinawilson,19,18–25,Male,2
U00130,eherring,17,<18,Male,1
U00131,chelsea48,19,18–25,Male,1
U00132,kathysharp,22,18–25,Male,1
U00133,mccarthyscott,21,18–25,Male,14
U00134,syoung,26,26–35,Female,14
U00135,josephmichael,17,<18,Female,1
U00136,millerleslie,25,18–25,Female,1
U00137,lawrencesanchez,15,<18,Female,2
U00138,sarafuentes,26,26–35,Male,2
U00139,qharrell,16,<18,Female,4
U00140,william81,24,18–25,Female,2
U00141,jenkinswilliam,20,18–25,Male,1
U00142,brian08,17,<18,Female,1
U00143,sherri37,26,26–35,Male,2
U00144,rodgerspaul,24,18–25,Female,13
U00145,shawnbrown,23,18–25,Female,1
U00146,ihernandez,30,26–35,Female,1
U00147,patricklaura,30,26–35,Male,12
U00148,andersenmichael,35,26–35,Female,1
U00149,jacksonanthony,17,<18,Female,10
U00150,nsmith,25,18–25,Male,2
U00151,johnjohnson,16,<18,Female,1
U00152,hhill,19,18–25,Female,12
U00153,scottgilbert,35,26–35,Male,2
U00154,jessicabailey,29,26–35,Male,1
U00155,browningstephanie,27,26–35,Male,2
U00156,phill,17,<18,Male,1
U00157,derek60,32,26–35,Female,2
U00158,nicholas56,35,26–35,Female,1
U00159,rodriguezraymond,16,<18,Male,2
U00160,kingspencer,28,26–35,Female,1
U00161,lawrence17,25,18–25,Female,11
U00162,charlesayala,26,26–35,Male,1
U00163,clinejacqueline,32,26–35,Female,1
U00164,james63,32,26–35,Male,2
U00165,wcarroll,30,26–35,Male,4
U00166,campbellkelsey,33,26–35,Male,15
U00167,rogersjohn,31,26–35,Female,1
U00168,gillespiekimberly,24,18–25,Female,1
U00169,vasquezjohn,24,18–25,Male,13
U00170,millerdavid,34,26–35,Female,3
U00171,egardner,24,18–25,Male,2
U00172,nglass,35,26–35,Female,1
U00173,fernando38,31,26–35,Male,14
U00174,michelle60,29,26–35,Male,1
U00175,xlambert,32,26–35,Female,2
U00176,gary81,34,26–35,Male,1
U00177,torreschristine,29,26–35,Female,14
U00178,gonzaleslisa,20,18–25,Male,14
U00179,mariaavila,34,26–35,Male,2
U00180,xglenn,26,26–35,Female,1
U00181,stephanie98,32,26–35,Female,1
U00182,nancyibarra,28,26–35,Female,1
U00183,christopherhall,33,26–35,Male,1
U00184,kroth,28,26–35,Male,1
U00185,jwalls,27,26–35,Male,1
U00186,alexbrown,28,26–35,Female,2
U00187,taylor05,18,18–25,Male,1
U00188,robertsedward,18,18–25,Male,1
U00189,latoya45,18,18–25,Male,1
U00190,hroberts,25,18–25,Female,1
U00191,foleypaul,34,26–35,Male,12
U00192,nathanieldorsey,17,<18,Male,14
U00193,stevenjames,33,26–35,Male,1
U00194,carolynpage,35,26–35,Male,1
U00195,stewartlisa,15,<18,Male,1
U00196,susan34,23,18–25,Female,1
U00197,parksderek,35,26–35,Female,1
U00198,brian71,30,26–35,Female,12
U00199,millerstephanie,24,18–25,Female,1
U00200,ronald67,32,26–35,Male,4
U00201,yalvarado,16,<18,Male,3
U00202,awilson,28,26–35,Female,1
U00203,samantha00,25,18–25,Female,2
U00204,loribates,28,26–35,Female,1
U00205,christinecampbell,32,26–35,Male,1
U00206,lisa94,19,18–25,Female,1
U00207,evelyn98,33,26–35,Male,2
U00208,kingrobin,18,18–25,Female,15
U00209,parkssarah,26,26–35,Male,1
U00210,mscott,30,26–35,Male,2
U00211,maryspencer,22,18–25,Male,1
U00212,mike97,30,26–35,Female,2
U00213,susan03,15,<18,Male,2
U00214,danielle41,24,18–25,Female,1
U00215,sandra29,28,26–35,Male,1
U00216,taylorelizabeth,23,18–25,Male,16
U00217,garychandler,28,26–35,Male,1
U00218,gregory81,15,<18,Female,1
U00219,daniellebishop,23,18–25,Female,1
U00220,laura88,20,18–25,Male,15
U00221,lgallagher,27,26–35,Male,1
U00222,bentonkatrina,28,26–35,Male,1
U00223,patricia65,35,26–35,Female,1
U00224,denisebailey,15,<18,Female,1
U00225,sheila72,18,18–25,Male,1
U00226,marioperez,34,26–35,Female,1
U00227,victoria90,23,18–25,Male,2
U00228,joshuarangel,18,18–25,Male,1
U00229,charles00,22,18–25,Male,2
U00230,karen41,17,<18,Female,2
U00231,rodgersdaniel,16,<18,Male,2
U00232,timothywatkins,26,26–35,Female,1
U00233,robinsonmichael,32,26–35,Male,1
U00234,emily05,32,26–35,Male,2
U00235,williamscharles,34,26–35,Male,3
U00236,colin32,25,18–25,Female,1
U00237,anthony70,20,18–25,Male,1
U00238,joshuaescobar,24,18–25,Female,15
U00239,vberg,32,26–35,Female,1
U00240,ismith,34,26–35,Female,2
U00241,thomascummings,23,18–25,Female,2
U00242,wernerjesus,27,26–35,Male,2
U00243,thomastimothy,24,18–25,Female,1
U00244,josemartinez,28,26–35,Male,1
U00245,twilson,31,26–35,Female,1
U00246,william30,31,26–35,Male,1
U00247,edwardsadam,30,26–35,Female,1
U00248,christopher76,17,<18,Male,1
U00249,donaldmccoy,35,26–35,Female,1
U00250,gregorypierce,21,18–25,Male,1
U00251,summersjamie,28,26–35,Female,13
U00252,millermary,29,26–35,Female,1
U00253,ymcgrath,19,18–25,Male,1
U00254,yatesadrian,19,18–25,Female,1
U00255,fschmidt,26,26–35,Female,1
U00256,pearsonannette,35,26–35,Female,1
U00257,danielle50,29,26–35,Male,1
U00258,marilynbailey,19,18–25,Male,1
U00259,jennifershaw,35,26–35,Male,1
U00260,heather26,35,26–35,Male,15
U00261,darrell83,28,26–35,Female,1
U00262,dawnsawyer,24,18–25,Male,1
U00263,chapmanjennifer,15,<18,Male,4
U00264,mmullen,18,18–25,Female,3
U00265,william96,15,<18,Male,14
U00266,fstephens,25,18–25,Female,1
U00267,amandataylor,34,26–35,Male,4
U00268,donna26,29,26–35,Female,1
U00269,brandonharper,22,18–25,Female,1
U00270,karenpratt,23,18–25,Male,1
U00271,ldurham,15,<18,Male,1
U00272,wvasquez,25,18–25,Male,13
U00273,wattsphilip,25,18–25,Female,1
U00274,john92,32,26–35,Female,2
U00275,benjaminmendoza,28,26–35,Female,1
U00276,cassandrayoung,22,18–25,Female,1
U00277,oriddle,21,18–25,Male,1
U00278,erikayoung,27,26–35,Male,1
U00279,mackenzie39,24,18–25,Male,3
U00280,psnyder,15,<18,Male,1
U00281,bailey28,30,26–35,Female,1
U00282,eandrews,19,18–25,Male,14
U00283,mryan,28,26–35,Male,2
U00284,gallaghergregory,30,26–35,Male,1
U00285,lunabrandon,29,26–35,Female,1
U00286,angelaclark,24,18–25,Female,3
U00287,rkennedy,21,18–25,Female,2
U00288,michellemartin,35,26–35,Male,1
U00289,christopher37,17,<18,Female,1
U00290,frankalvarado,17,<18,Female,3
U00291,nicholas62,16,<18,Female,3
U00292,andrewbrown,33,26–35,Male,12
U00293,brian93,25,18–25,Female,13
U00294,traceybrown,21,18–25,Female,1
U00295,jean02,29,26–35,Male,1
U00296,marshallolivia,31,26–35,Female,2
U00297,mgarrett,29,26–35,Male,1
U00298,steven02,32,26–35,Male,14
U00299,vincentadam,20,18–25,Female,1
U00300,anthonyhess,26,26–35,Female,2
U00301,shale,26,26–35,Male,14
U00302,nelsonsamantha,34,26–35,Female,1
U00303,fcollins,35,26–35,Male,14
U00304,lucaswilliam,35,26–35,Male,1
U00305,ypeters,22,18–25,Male,1
U00306,aaronfrazier,28,26–35,Male,1
U00307,orichardson,33,26–35,Female,1
U00308,carrollwalter,26,26–35,Male,4
U00309,gilbertjoseph,27,26–35,Male,1
U00310,davidbarrera,26,26–35,Female,11
U00311,mandy48,18,18–25,Female,1
U00312,hallerin,30,26–35,Female,1
U00313,qsmith,29,26–35,Female,1
U00314,tgonzalez,19,18–25,Female,3
U00315,stephanie14,31,26–35,Female,12
U00316,jasonjohnston,19,18–25,Female,2
U00317,williamscaroline,19,18–25,Male,3
U00318,dudleyaimee,20,18–25,Male,1
U00319,ysmith,15,<18,Female,1
U00320,hannahromero,29,26–35,Male,1
U00321,mhammond,28,26–35,Male,14
U00322,idillon,23,18–25,Male,14
U00323,irichard,21,18–25,Female,15
U00324,wpowell,16,<18,Male,1
U00325,thomas96,26,26–35,Male,1
U00326,ashleyjohnson,25,18–25,Female,1
U00327,hannahmccoy,31,26–35,Female,4
U00328,glennmoore,29,26–35,Female,15
U00329,ellisangela,20,18–25,Female,12
U00330,jsherman,15,<18,Female,14
U00331,john39,17,<18,Male,1
U00332,steinjane,25,18–25,Male,1
U00333,carmen47,26,26–35,Female,1
U00334,dianasanchez,24,18–25,Female,13
U00335,garneranthony,33,26–35,Female,1
U00336,milescaitlin,19,18–25,Male,1
U00337,kimberly57,29,26–35,Female,1
U00338,brianlee,23,18–25,Female,14
U00339,emmaallen,29,26–35,Male,16
U00340,george01,30,26–35,Male,14
U00341,ggonzalez,24,18–25,Male,1
U00342,myersmark,26,26–35,Female,1
U00343,adriana50,31,26–35,Male,1
U00344,jennifernorris,17,<18,Male,1
U00345,whiteheadjessica,16,<18,Male,15
U00346,marymcclain,33,26–35,Female,3
U00347,dorothy78,32,26–35,Female,2
U00348,wigginsearl,30,26–35,Female,1
U00349,fostermichael,28,26–35,Male,1
U00350,fmartin,17,<18,Male,2
U00351,carlsonjason,18,18–25,Female,13
U00352,danderson,28,26–35,Male,15
U00353,webbcharles,34,26–35,Female,14
U00354,elizabeth42,35,26–35,Male,2
U00355,johnsonfrederick,15,<18,Female,1
U00356,donaldjacobs,21,18–25,Female,15
U00357,ychavez,15,<18,Female,15
U00358,johnmcdonald,19,18–25,Male,1
U00359,jeremiahshaw,29,26–35,Female,1
U00360,qburke,32,26–35,Male,1
U00361,pmoon,18,18–25,Female,1
U00362,eugene97,16,<18,Male,13
U00363,haysbarbara,32,26–35,Female,1
U00364,cynthiamiller,34,26–35,Male,1
U00365,bfox,30,26–35,Female,13
U00366,gerald45,28,26–35,Male,2
U00367,robert90,21,18–25,Male,1
U00368,michael12,26,26–35,Male,1
U00369,beckerterry,19,18–25,Male,4
U00370,bstevens,17,<18,Male,2
U00371,grayandrea,17,<18,Female,1
U00372,bpatrick,23,18–25,Male,1
U00373,daniel56,26,26–35,Female,1
U00374,hmarsh,28,26–35,Female,1
U00375,powellmatthew,34,26–35,Female,1
U00376,jeffrey59,29,26–35,Male,1
U00377,andersondonald,21,18–25,Female,1
U00378,cookjoseph,21,18–25,Female,2
U00379,garciajohn,20,18–25,Male,14
U00380,rebeccabowman,23,18–25,Female,1
U00381,richardsondanny,32,26–35,Male,1
U00382,martinpayne,25,18–25,Male,3
U00383,michael40,29,26–35,Female,15
U00384,joshuamiller,32,26–35,Female,2
U00385,melissa61,20,18–25,Male,1
U00386,gary74,29,26–35,Female,2
U00387,elliottjacob,29,26–35,Female,1
U00388,jbennett,18,18–25,Male,1
U00389,qhunt,27,26–35,Female,1
U00390,newtonjohnny,18,18–25,Female,3
U00391,morrisonronald,19,18–25,Female,1
U00392,coleamanda,19,18–25,Female,1
U00393,ryan80,30,26–35,Male,1
U00394,dianaeverett,30,26–35,Female,11
U00395,karenholder,22,18–25,Female,1
U00396,soliskaren,30,26–35,Male,2
U00397,padams,16,<18,Male,1
U00398,brandon42,27,26–35,Female,3
U00399,xgraham,31,26–35,Female,12
U00400,ann81,23,18–25,Male,2
U00401,christina44,21,18–25,Female,2
U00402,mary54,23,18–25,Male,2
U00403,stevencruz,34,26–35,Female,1
U00404,lucerojonathan,21,18–25,Female,14
U00405,douglasholmes,24,18–25,Male,2
U00406,miranda71,33,26–35,Male,15
U00407,zlopez,23,18–25,Male,15
U00408,jacquelinelee,19,18–25,Female,1
U00409,jenniferolson,35,26–35,Male,2
U00410,bcantu,33,26–35,Male,1
U00411,robert66,17,<18,Female,12
U00412,qwatkins,24,18–25,Female,4
U00413,sharon56,23,18–25,Male,2
U00414,popesteven,25,18–25,Male,1
U00415,lisaponce,31,26–35,Female,13
U00416,simmonspatricia,17,<18,Female,2
U00417,erica01,32,26–35,Female,2
U00418,anthonyanderson,23,18–25,Female,3
U00419,willismorgan,21,18–25,Female,1
U00420,jennifer64,24,18–25,Female,1
U00421,karenlambert,32,26–35,Male,1
U00422,sanfordmichael,15,<18,Female,3
U00423,reginaberg,27,26–35,Female,12
U00424,kristi64,35,26–35,Male,11
U00425,erik67,19,18–25,Male,1
U00426,xknox,21,18–25,Male,4
U00427,bernardsexton,29,26–35,Female,16
U00428,stewartdiane,23,18–25,Male,1
U00429,bmckay,23,18–25,Female,1
U00430,mark51,27,26–35,Male,1
U00431,collinsjason,15,<18,Female,1
U00432,umiller,31,26–35,Male,1
U00433,elewis,32,26–35,Female,1
U00434,knightjake,22,18–25,Male,1
U00435,lgreene,34,26–35,Female,1
U00436,hodgeserin,20,18–25,Female,1
U00437,pricealexander,28,26–35,Male,3
U00438,eric69,21,18–25,Male,14
U00439,idiaz,31,26–35,Female,1
U00440,maxwellsmith,20,18–25,Female,1
U00441,taylor92,19,18–25,Male,1
U00442,umaldonado,21,18–25,Female,1
U00443,desiree20,21,18–25,Female,2
U00444,morrowmichael,15,<18,Female,13
U00445,vlong,31,26–35,Female,1
U00446,smithjack,19,18–25,Female,2
U00447,fwebb,23,18–25,Male,1
U00448,smithjeffrey,27,26–35,Male,3
U00449,brownkaren,33,26–35,Female,14
U00450,colemanroy,20,18–25,Male,12
U00451,sabrinafoster,20,18–25,Male,1
U00452,williamsamy,23,18–25,Male,3
U00453,jasmineowens,20,18–25,Male,1
U00454,lauralewis,28,26–35,Female,4
U00455,angelica53,19,18–25,Male,3
U00456,bobbyfaulkner,24,18–25,Female,2
U00457,amytaylor,34,26–35,Female,2
U00458,zle,31,26–35,Female,4
U00459,andrewthomas,22,18–25,Male,1
U00460,youngmike,24,18–25,Female,2
U00461,kramerlogan,21,18–25,Female,2
U00462,lmason,30,26–35,Male,2
U00463,smithryan,18,18–25,Female,1
U00464,blakejoseph,25,18–25,Male,12
U00465,garrettjenny,26,26–35,Male,1
U00466,armstrongluis,32,26–35,Female,2
U00467,awalker,34,26–35,Male,1
U00468,greeneaaron,19,18–25,Female,1
U00469,scott82,20,18–25,Female,2
U00470,antoniohanson,18,18–25,Female,1
U00471,clopez,31,26–35,Female,1
U00472,nhicks,22,18–25,Female,1
U00473,smithamanda,32,26–35,Female,3
U00474,renee73,31,26–35,Male,1
U00475,stevenwilliams,24,18–25,Male,3
U00476,devin94,29,26–35,Female,2
U00477,jason69,19,18–25,Male,1
U00478,john69,30,26–35,Male,2
U00479,cunninghamaaron,33,26–35,Male,2
U00480,rnash,20,18–25,Female,1
U00481,bakeranna,32,26–35,Female,1
U00482,leewhite,33,26–35,Female,1
U00483,weberhelen,22,18–25,Male,1
U00484,wesleyfreeman,16,<18,Male,2
U00485,garrettevans,29,26–35,Female,1
U00486,coryalvarado,21,18–25,Female,2
U00487,kayla77,15,<18,Female,2
U00488,barbara10,20,18–25,Male,2
U00489,aguirrejessica,18,18–25,Male,3
U00490,smithjody,33,26–35,Male,1
U00491,brianna74,20,18–25,Male,1
U00492,billy39,20,18–25,Female,1
U00493,rioschristina,30,26–35,Male,1
U00494,joel15,26,26–35,Male,13
U00495,johnsonchristina,35,26–35,Female,2
U00496,clarktonya,29,26–35,Female,1
U00497,cmclean,21,18–25,Female,3
U00498,sheri69,20,18–25,Female,3
U00499,keith86,21,18–25,Male,1
U00500,frederick07,16,<18,Female,2
U00501,andersonkathy,26,26–35,Female,1
U00502,reynoldserin,22,18–25,Female,2
U00503,robinsonmargaret,15,<18,Male,2
U00504,cantrellscott,16,<18,Male,2
U00505,mcleanchris,17,<18,Male,1
U00506,aliciagiles,33,26–35,Female,1
U00507,nichole08,15,<18,Male,2
U00508,dalesmith,28,26–35,Female,1
U00509,alexandereaton,20,18–25,Female,1
U00510,noblechristy,15,<18,Male,1
U00511,becky57,28,26–35,Male,1
U00512,joshua36,22,18–25,Male,2
U00513,kcoleman,25,18–25,Male,1
U00514,tammysmall,30,26–35,Female,3
U00515,martinbrian,19,18–25,Female,2
U00516,charles14,33,26–35,Female,1
U00517,rachelsmith,22,18–25,Female,1
U00518,jasonlara,20,18–25,Female,1
U00519,phaynes,27,26–35,Female,1
U00520,tammy29,29,26–35,Male,1
U00521,amanda69,26,26–35,Female,1
U00522,qbrooks,21,18–25,Male,1
U00523,crystal86,31,26–35,Male,1
U00524,knighthector,24,18–25,Male,2
U00525,victor26,31,26–35,Male,1
U00526,dunndeborah,24,18–25,Male,1
U00527,moralesmatthew,18,18–25,Male,2
U00528,wwebb,26,26–35,Female,1
U00529,tharper,25,18–25,Male,2
U00530,wilsonjeanne,35,26–35,Female,1
U00531,hannahking,24,18–25,Male,2
U00532,spencerjennifer,15,<18,Female,1
U00533,brandonfuller,29,26–35,Male,2
U00534,michellestone,27,26–35,Female,4
U00535,rodriguezryan,23,18–25,Male,2
U00536,lukewilliams,35,26–35,Female,1
U00537,opatterson,25,18–25,Female,2
U00538,salinasthomas,20,18–25,Male,1
U00539,jennifer10,25,18–25,Male,1
U00540,james88,15,<18,Male,1
U00541,dhill,19,18–25,Male,3
U00542,ericjones,32,26–35,Male,1
U00543,broberts,18,18–25,Female,13
U00544,williamskaren,30,26–35,Male,1
U00545,bryandavis,18,18–25,Female,1
U00546,nathanstevenson,25,18–25,Male,1
U00547,loganthomas,19,18–25,Female,1
U00548,vanessa32,32,26–35,Female,14
U00549,andrea24,17,<18,Female,1
U00550,gwyatt,17,<18,Male,2
U00551,harveybenjamin,35,26–35,Male,4
U00552,nicholastorres,30,26–35,Female,2
U00553,whiteheadhoward,15,<18,Male,2
U00554,tlopez,18,18–25,Male,1
U00555,rodriguezaudrey,17,<18,Female,1
U00556,martinezkenneth,25,18–25,Female,14
U00557,kross,31,26–35,Male,2
U00558,kimberlymoore,32,26–35,Male,1
U00559,jonathanmendoza,20,18–25,Male,11
U00560,danielle56,32,26–35,Male,2
U00561,perryterry,33,26–35,Male,1
U00562,douglasbright,23,18–25,Female,15
U00563,jacksonchristopher,31,26–35,Female,2
U00564,nkeller,15,<18,Male,1
U00565,teresabell,28,26–35,Male,2
U00566,zrowland,31,26–35,Male,2
U00567,edeleon,20,18–25,Male,1
U00568,lmorris,16,<18,Female,1
U00569,danieljimenez,15,<18,Female,14
U00570,dunncharles,27,26–35,Male,14
U00571,tracey67,22,18–25,Female,2
U00572,jesse11,32,26–35,Male,13
U00573,florestyler,30,26–35,Male,11
U00574,thomas63,33,26–35,Female,14
U00575,swilliams,35,26–35,Male,1
U00576,harrispenny,16,<18,Male,13
U00577,raymond98,17,<18,Female,1
U00578,palmerkristy,26,26–35,Male,1
U00579,walkertracie,34,26–35,Male,1
U00580,whitepatrick,24,18–25,Female,3
U00581,rodriguezsamantha,32,26–35,Female,2
U00582,wagnervalerie,26,26–35,Male,1
U00583,qmarsh,21,18–25,Female,1
U00584,christine43,31,26–35,Female,14
U00585,jennifer48,19,18–25,Female,2
U00586,ericamorris,21,18–25,Male,1
U00587,melissahancock,22,18–25,Female,2
U00588,shelia09,24,18–25,Male,1
U00589,matthew86,19,18–25,Female,1
U00590,browndonna,19,18–25,Male,1
U00591,kendramcdonald,35,26–35,Male,2
U00592,barbara94,18,18–25,Female,14
U00593,fmaxwell,23,18–25,Male,2
U00594,gsims,20,18–25,Male,1
U00595,hrichardson,29,26–35,Male,14
U00596,hshaw,26,26–35,Male,2
U00597,suzanne13,28,26–35,Female,1
U00598,acraig,28,26–35,Male,1
U00599,kristinharrison,33,26–35,Male,1
U00600,philip29,21,18–25,Male,1
U00601,ginawilkins,24,18–25,Male,1
U00602,chowell,25,18–25,Female,3
U00603,xbryant,35,26–35,Male,2
U00604,mercedes21,30,26–35,Female,14
U00605,graypatricia,30,26–35,Female,3
U00606,tiffanywilliams,33,26–35,Female,2
U00607,bobby98,30,26–35,Male,2
U00608,adrianconley,31,26–35,Male,1
U00609,marissa45,33,26–35,Female,4
U00610,ericcraig,19,18–25,Male,1
U00611,christophercontreras,30,26–35,Male,2
U00612,kellytaylor,23,18–25,Male,1
U00613,jessica15,24,18–25,Male,2
U00614,samuelmiles,23,18–25,Female,1
U00615,mrobinson,20,18–25,Male,1
U00616,joshua33,19,18–25,Female,2
U00617,bradyolivia,18,18–25,Female,1
U00618,rlee,22,18–25,Male,1
U00619,brittanymclean,32,26–35,Female,12
U00620,antonio11,30,26–35,Male,1
U00621,smithjill,20,18–25,Male,2
U00622,xhernandez,28,26–35,Female,13
U00623,omar61,23,18–25,Female,2
U00624,reneeanderson,34,26–35,Female,2
U00625,kimberly36,28,26–35,Male,4
U00626,emily75,19,18–25,Male,1
U00627,robertsdavid,34,26–35,Female,4
U00628,david75,32,26–35,Female,2
U00629,toni46,20,18–25,Female,1
U00630,trevorwhite,17,<18,Male,3
U00631,heathdonna,20,18–25,Male,2
U00632,zknox,26,26–35,Female,1
U00633,reidlisa,35,26–35,Female,14
U00634,bradley56,15,<18,Female,3
U00635,dmahoney,26,26–35,Female,1
U00636,parkermaria,21,18–25,Female,13
U00637,kbrandt,22,18–25,Female,2
U00638,austin36,19,18–25,Female,2
U00639,wscott,33,26–35,Female,14
U00640,jon73,31,26–35,Male,1
U00641,nancy60,32,26–35,Male,1
U00642,rmeza,17,<18,Male,2
U00643,cynthia57,20,18–25,Female,1
U00644,montgomerykathleen,20,18–25,Female,1
U00645,dennis23,23,18–25,Female,1
U00646,smurphy,29,26–35,Female,1
U00647,richard50,26,26–35,Female,1
U00648,madeline85,19,18–25,Male,2
U00649,thomaslawson,32,26–35,Male,1
U00650,xknapp,26,26–35,Female,1
U00651,mmeadows,29,26–35,Male,4
U00652,cwebb,16,<18,Female,2
U00653,terrigreen,15,<18,Male,1
U00654,ehall,24,18–25,Male,2
U00655,jbailey,33,26–35,Female,1
U00656,vanessapearson,31,26–35,Male,1
U00657,bensonandrew,23,18–25,Male,1
U00658,djohnston,23,18–25,Female,1
U00659,dbennett,33,26–35,Male,2
U00660,gardnerjohn,22,18–25,Male,2
U00661,robert38,23,18–25,Female,4
U00662,greggcarter,30,26–35,Female,1
U00663,brittneysanders,35,26–35,Male,1
U00664,lopezashley,17,<18,Male,1
U00665,laura09,35,26–35,Male,1
U00666,idavis,30,26–35,Female,12
U00667,oconnorjennifer,18,18–25,Female,2
U00668,jeffreybishop,34,26–35,Female,2
U00669,yvette06,20,18–25,Female,1
U00670,david51,17,<18,Male,2
U00671,brandonsteele,18,18–25,Female,1
U00672,andersonanita,15,<18,Male,1
U00673,michaeldavid,24,18–25,Female,2
