UserID,UniqueCategories,TotalEnrollments
U00493,1,1
U00494,10,13
U00495,2,2
U00496,1,1
U00497,2,3
U00498,3,3
U00499,1,1
U00500,2,2
U00501,1,1
U00502,2,2
U00503,2,2
U00504,2,2
U00505,1,1
U00506,1,1
U00507,2,2
U00508,1,1
U00509,1,1
U00510,1,1
U00511,1,1
U00512,2,2
U00513,1,1
U00514,2,3
U00515,2,2
U00516,1,1
U00517,1,1
U00518,1,1
U00519,1,1
U00520,1,1
U00521,1,1
U00522,1,1
U00523,1,1
U00524,1,2
U00525,1,1
U00526,1,1
U00527,2,2
U00528,1,1
U00529,2,2
U00530,1,1
U00531,2,2
U00532,1,1
U00533,2,2
U00534,4,4
U00535,2,2
U00536,1,1
U00537,2,2
U00538,1,1
U00539,1,1
U00540,1,1
U00541,3,3
U00542,1,1
U00543,10,13
U00544,1,1
U00545,1,1
U00546,1,1
U00547,1,1
U00548,9,14
U00549,1,1
U00550,2,2
U00551,4,4
U00552,2,2
U00553,2,2
U00554,1,1
U00555,1,1
U00556,9,14
U00557,2,2
U00558,1,1
U00559,9,11
U00560,2,2
U00561,1,1
U00562,10,15
U00563,2,2
U00564,1,1
U00565,2,2
U00566,2,2
U00567,1,1
U00568,1,1
U00569,7,14
U00570,9,14
U00571,2,2
U00572,9,13
U00573,8,11
U00574,9,14
U00575,1,1
U00576,9,13
U00577,1,1
U00578,1,1
U00579,1,1
U00580,3,3
U00581,2,2
U00582,1,1
U00583,1,1
U00584,8,14
U00585,2,2
U00586,1,1
U00587,2,2
U00588,1,1
U00589,1,1
U00590,1,1
U00591,2,2
U00592,8,14
U00593,2,2
U00594,1,1
U00595,9,14
U00596,2,2
U00597,1,1
U00598,1,1
U00599,1,1
U00600,1,1
U00601,1,1
U00602,3,3
U00603,2,2
U00604,9,14
U00605,3,3
U00606,2,2
U00607,2,2
U00608,1,1
U00609,4,4
U00610,1,1
U00611,2,2
U00612,1,1
U00613,2,2
U00614,1,1
U00615,1,1
U00616,2,2
U00617,1,1
U00618,1,1
U00619,9,12
U00620,1,1
U00621,2,2
U00622,8,13
U00623,2,2
U00624,2,2
U00625,3,4
U00626,1,1
U00627,3,4
U00628,2,2
U00629,1,1
U00630,2,3
U00631,2,2
U00632,1,1
U00633,9,14
U00634,2,3
U00635,1,1
U00636,10,13
U00637,2,2
U00638,1,2
U00639,8,14
U00640,1,1
U00641,1,1
U00642,2,2
U00643,1,1
U00644,1,1
U00645,1,1
U00646,1,1
U00647,1,1
U00648,2,2
U00649,1,1
U00650,1,1
U00651,3,4
U00652,2,2
U00653,1,1
U00654,2,2
U00655,1,1
U00656,1,1
U00657,1,1
U00658,1,1
U00659,2,2
U00660,2,2
U00661,3,4
U00662,1,1
U00663,1,1
U00664,1,1
U00665,1,1
U00666,9,12
U00667,2,2
U00668,2,2
U00669,1,1
U00670,2,2
U00671,1,1
U00672,1,1
U00673,2,2
U00674,1,1
U00675,1,1
U00676,2,2
U00677,1,1
U00678,1,1
U00679,1,1
U00680,1,1
U00681,2,2
U00682,1,1
U00683,1,1
U00684,2,3
U00685,1,1
U00686,1,1
U00687,11,15
U00688,1,2
U00689,2,2
U00690,1,1
U00691,1,1
U00692,1,1
U00693,1,1
U00694,1,1
U00695,1,1
U00696,1,1
U00697,1,1
U00698,2,2
U00699,2,2
U00700,1,1
U00701,10,14
U00702,3,3
U00703,3,3
U00704,8,13
U00705,1,1
U00706,2,2
U00707,1,1
U00708,1,1
U00709,10,14
U00710,1,1
U00711,2,2
U00712,2,2
U00713,1,1
U00714,3,3
U00715,1,1
U00716,3,4
U00717,1,1
U00718,2,2
U00719,1,1
U00720,1,1
U00721,1,1
U00722,3,3
U00723,10,14
U00724,9,15
U00725,1,1
U00726,1,1
U00727,3,4
U00728,1,1
U00729,2,2
U00730,2,2
U00731,2,2
U00732,1,1
U00733,1,1
U00734,3,4
U00735,2,2
U00736,1,1
U00737,2,2
U00738,3,3
U00739,1,1
U00740,1,1
U00741,3,4
U00742,1,1
U00743,3,4
U00744,1,1
U00745,2,2
U00746,2,2
U00747,1,1
U00748,2,2
U00749,1,1
U00750,1,1
U00751,1,1
U00752,9,13
U00753,2,2
U00754,1,1
U00755,1,1
U00756,1,1
U00757,1,1
U00758,1,1
U00759,1,1
U00760,9,13
U00761,1,1
U00762,1,1
U00763,1,1
U00764,1,2
U00765,7,11
U00766,2,3
U00767,10,14
U00768,2,2
U00769,1,1
U00770,1,1
U00771,1,1
U00772,9,13
U00773,1,1
U00774,1,1
U00775,8,14
U00776,1,1
U00777,4,4
U00778,2,2
U00779,1,1
U00780,1,1
U00781,1,1
U00782,1,1
U00783,2,2
U00784,2,2
U00785,1,1
U00786,8,13
U00787,6,9
U00788,2,2
U00789,2,2
U00790,2,2
U00791,2,2
U00792,1,1
U00793,3,4
U00794,2,2
U00795,3,3
U00796,2,2
U00797,3,3
U00798,1,1
U00799,2,2
U00800,2,2
U00801,2,2
U00802,2,2
U00803,3,3
U00804,2,2
U00805,1,1
U00806,1,1
U00807,1,1
U00808,1,1
U00809,1,1
U00810,1,1
U00811,2,3
U00812,2,3
U00813,4,4
U00814,1,1
U00815,2,2
U00816,3,3
U00817,1,1
U00818,1,1
U00819,9,14
U00820,3,3
U00821,11,13
U00822,1,1
U00823,1,1
U00824,1,1
U00825,3,3
U00826,1,1
U00827,2,2
U00828,3,3
U00829,8,16
U00830,1,1
U00831,2,2
U00832,1,1
U00833,3,3
U00834,1,1
U00835,1,1
U00836,9,15
U00837,3,4
U00838,8,12
U00839,1,1
U00840,3,3
U00841,1,1
U00842,2,2
U00843,1,1
U00844,1,1
U00845,1,1
U00846,1,1
U00847,1,1
U00848,3,4
U00849,1,2
U00850,9,15
U00851,1,1
U00852,8,13
U00853,2,2
U00854,2,2
U00855,1,1
U00856,1,1
U00857,1,1
U00858,8,15
U00859,1,1
U00860,1,1
U00861,1,1
U00862,1,1
U00863,1,1
U00864,1,1
U00865,1,1
U00866,1,1
U00867,1,1
U00868,1,1
U00869,1,1
U00870,10,15
U00871,2,2
U00872,1,1
U00873,1,1
U00874,10,12
U00875,1,1
U00876,11,14
U00877,1,1
U00878,1,1
U00879,3,3
U00880,1,1
U00881,10,16
U00882,1,1
U00883,3,3
U00884,1,1
U00885,1,1
U00886,2,2
U00887,1,1
U00888,3,4
U00889,1,1
U00890,2,2
U00891,2,2
U00892,4,4
U00893,9,12
U00894,3,3
U00895,3,4
U00896,4,4
U00897,1,1
U00898,8,12
U00899,1,1
U00900,2,2
U00901,1,1
U00902,2,2
U00903,9,13
U00904,1,1
U00905,1,1
U00906,1,1
U00907,8,12
U00908,1,1
U00909,1,1
U00910,3,3
U00911,7,10
U00912,1,1
U00913,1,1
U00914,1,1
U00915,8,13
U00916,1,1
U00917,11,15
U00918,1,1
U00919,8,14
U00920,1,1
U00921,1,1
U00922,2,2
U00923,3,3
U00924,1,1
U00925,2,2
U00926,2,2
U00927,2,2
U00928,9,12
U00929,3,4
U00930,3,3
U00931,1,1
U00932,1,1
U00933,1,1
U00934,1,1
U00935,1,1
U00936,1,1
U00937,1,1
U00938,1,1
U00939,1,1
U00940,1,1
U00941,2,2
U00942,1,1
U00943,2,2
U00944,1,1
U00945,1,1
U00946,1,1
U00947,1,1
U00948,3,3
U00949,3,4
U00950,1,1
U00951,2,2
U00952,2,2
U00953,3,3
U00954,2,2
U00955,2,3
U00956,1,1
U00957,2,3
U00958,1,2
U00959,9,13
U00960,1,1
U00961,9,14
U00962,1,1
U00963,2,2
U00964,1,1
U00965,1,1
U00966,1,1
U00967,8,14
U00968,2,2
U00969,1,1
U00970,1,1
U00971,3,3
U00972,4,4
U00973,1,1
U00974,1,1
U00975,1,1
U00976,9,12
U00977,1,1
U00978,1,1
U00979,3,3
U00980,1,1
U00981,9,13
U00982,1,1
U00983,1,1
U00984,1,1
U00985,1,1
U00986,1,2
U00987,1,1
U00988,1,1
U00989,9,12
U00990,1,1
U00991,1,1
U00992,4,4
U00993,1,1
U00994,1,1
U00995,2,2
U00996,1,1
U00997,8,15
U00998,2,2
U00999,1,1
U01000,7,12
U01001,1,1
U01002,1,1
U01003,1,1
U01004,1,1
U01005,1,1
U01006,2,2
U01007,1,1
U01008,2,2
U01009,1,1
U01010,1,1
U01011,1,1
U01012,1,1
U01013,3,3
U01014,3,3
U01015,9,15
U01016,2,2
U01017,1,2
U01018,1,1
U01019,1,1
U01020,9,12
U01021,2,2
U01022,10,13
U01023,2,2
U01024,2,3
U01025,1,1
U01026,1,1
U01027,2,2
U01028,2,2
U01029,1,1
U01030,1,1
U01031,8,13
U01032,10,14
U01033,7,13
U01034,7,12
U01035,2,3
U01036,1,1
U01037,1,1
U01038,1,1
U01039,1,1
U01040,1,1
U01041,1,1
U01042,1,1
U01043,3,4
U01044,1,1
U01045,2,2
U01046,1,1
U01047,1,1
U01048,1,1
U01049,1,2
U01050,1,1
U01051,2,2
U01052,2,2
U01053,1,1
U01054,2,2
U01055,1,1
U01056,2,2
U01057,1,1
U01058,2,2
U01059,1,1
U01060,1,1
U01061,1,2
U01062,1,1
U01063,1,1
U01064,2,2
U01065,4,4
U01066,7,12
U01067,1,1
U01068,2,2
U01069,1,1
U01070,1,1
U01071,2,2
U01072,1,1
U01073,2,2
U01074,1,1
U01075,2,2
U01076,1,1
U01077,2,2
U01078,2,2
U01079,7,13
U01080,1,1
U01081,1,1
U01082,1,1
U01083,11,15
U01084,8,13
U01085,2,2
U01086,1,1
U01087,1,1
U01088,2,2
U01089,1,1
U01090,2,2
U01091,2,2
U01092,9,15
U01093,1,1
U01094,2,2
U01095,1,1
U01096,7,16
U01097,1,1
U01098,3,4
U01099,1,1
U01100,3,3
U01101,1,1
U01102,2,2
U01103,4,4
U01104,1,1
U01105,1,1
U01106,1,1
U01107,1,1
U01108,4,4
U01109,1,1
U01110,1,2
U01111,1,1
U01112,1,1
U01113,1,1
U01114,1,1
U01115,1,1
U01116,1,1
U01117,1,1
U01118,1,1
U01119,1,1
U01120,1,1
U01121,1,1
U01122,1,2
U01123,10,15
U01124,3,3
U01125,2,2
U01126,2,2
U01127,3,3
U01128,2,2
U01129,1,1
U01130,1,1
U01131,3,3
U01132,3,4
U01133,1,1
U01134,3,3
U01135,1,1
U01136,1,1
U01137,2,2
U01138,1,1
U01139,1,1
U01140,1,1
U01141,1,1
U01142,2,2
U01143,10,14
U01144,2,2
U01145,1,1
U01146,9,13
U01147,1,1
U01148,2,2
U01149,3,4
U01150,1,1
U01151,8,14
U01152,1,1
U01153,1,1
U01154,2,2
U01155,4,4
U01156,2,2
U01157,4,4
U01158,10,12
U01159,1,1
U01160,4,4
U01161,1,1
U01162,1,1
U01163,4,13
U01164,1,1
U01165,2,2
U01166,2,2
U01167,9,11
U01168,1,1
U01169,1,1
U01170,8,14
U01171,1,1
U01172,3,3
U01173,3,3
U01174,1,1
U01175,1,1
U01176,3,3
U01177,9,13
U01178,2,2
U01179,2,2
U01180,10,13
U01181,1,1
U01182,3,3
U01183,2,2
U01184,1,1
U01185,2,2
U01186,1,1
U01187,1,1
U01188,1,1
U01189,1,1
U01190,1,1
U01191,1,1
U01192,1,1
U01193,2,2
U01194,1,1
U01195,1,1
U01196,2,2
U01197,9,14
U01198,1,1
U01199,1,1
U01200,1,1
U01201,1,1
U01202,1,1
U01203,11,16
U01204,2,3
U01205,2,2
U01206,1,1
U01207,1,1
U01208,1,1
U01209,2,2
U01210,1,1
U01211,1,1
U01212,1,1
U01213,1,1
U01214,1,1
U01215,1,1
U01216,1,1
U01217,1,1
U01218,1,1
U01219,1,1
U01220,1,1
U01221,8,13
U01222,2,3
U01223,1,1
U01224,8,11
U01225,2,2
U01226,2,2
U01227,1,1
U01228,3,4
U01229,2,2
U01230,3,3
U01231,9,14
U01232,1,1
U01233,8,11
U01234,1,1
U01235,9,14
U01236,1,1
U01237,8,13
U01238,1,1
U01239,9,12
U01240,1,1
U01241,2,2
U01242,2,2
U01243,2,2
U01244,11,14
U01245,1,1
U01246,2,2
U01247,1,1
U01248,2,2
U01249,9,14
U01250,10,15
U01251,2,2
U01252,1,1
U01253,1,1
U01254,1,1
U01255,4,4
U01256,1,1
U01257,2,2
U01258,4,4
U01259,1,1
U01260,1,1
U01261,10,13
U01262,4,4
U01263,1,1
U01264,1,1
U01265,2,2
U01266,8,14
U01267,11,14
U01268,9,13
U01269,1,1
U01270,2,2
U01271,1,1
U01272,1,1
U01273,1,1
U01274,1,1
U01275,1,1
U01276,2,2
U01277,8,12
U01278,2,2
U01279,3,3
U01280,7,12
U01281,10,13
U01282,3,3
U01283,1,1
U01284,11,15
U01285,2,4
U01286,7,13
U01287,9,12
U01288,2,2
U01289,1,1
U01290,10,14
U01291,1,1
U01292,1,1
U01293,1,1
U01294,1,1
U01295,4,4
U01296,1,1
U01297,1,1
U01298,1,1
U01299,1,1
U01300,1,1
U01301,1,1
U01302,2,2
U01303,2,2
U01304,2,2
U01305,3,3
U01306,1,1
U01307,1,1
U01308,1,1
U01309,2,2
U01310,3,3
U01311,1,1
U01312,1,1
U01313,3,3
U01314,2,2
U01315,9,13
U01316,1,1
U01317,1,1
U01318,11,14
U01319,1,1
U01320,4,4
U01321,8,14
U01322,8,12
U01323,2,2
U01324,1,1
U01325,2,2
U01326,2,2
U01327,1,1
U01328,1,1
U01329,1,1
U01330,2,2
U01331,8,13
U01332,8,12
U01333,1,1
U01334,9,13
U01335,1,1
U01336,9,14
U01337,10,16
U01338,3,3
U01339,2,2
U01340,2,2
U01341,2,3
U01342,2,2
U01343,9,14
U01344,7,14
U01345,1,1
U01346,11,15
U01347,9,13
U01348,2,2
U01349,1,1
U01350,8,13
U01351,2,2
U01352,9,13
U01353,1,1
U01354,2,2
U01355,8,13
U01356,3,3
U01357,1,1
U01358,1,1
U01359,2,2
U01360,1,1
U01361,1,1
U01362,3,3
U01363,2,2
U01364,9,13
U01365,11,14
U01366,1,1
U01367,1,1
U01368,1,1
U01369,1,1
U01370,3,3
U01371,1,1
U01372,1,1
U01373,1,1
U01374,1,1
U01375,9,13
U01376,1,1
U01377,3,4
U01378,2,2
U01379,2,2
U01380,1,1
U01381,1,1
U01382,1,1
U01383,1,1
U01384,3,3
U01385,1,1
U01386,1,1
U01387,1,1
U01388,1,1
U01389,1,1
U01390,2,2
U01391,1,1
U01392,3,3
U01393,1,1
U01394,9,14
U01395,9,14
U01396,3,3
U01397,8,13
U01398,1,1
U01399,8,16
U01400,1,1
U01401,1,1
U01402,4,4
U01403,1,1
U01404,1,1
U01405,9,12
U01406,1,1
U01407,1,1
U01408,2,2
U01409,3,4
U01410,1,1
U01411,9,15
U01412,3,3
U01413,1,1
U01414,11,16
U01415,3,3
U01416,2,2
U01417,1,2
U01418,1,1
U01419,2,2
U01420,3,3
U01421,1,1
U01422,2,2
U01423,1,1
U01424,1,1
U01425,1,1
U01426,1,1
U01427,1,1
U01428,1,1
U01429,10,15
U01430,10,13
U01431,2,2
U01432,8,12
U01433,1,2
U01434,2,2
U01435,10,13
U01436,2,2
U01437,1,1
U01438,3,4
U01439,1,1
U01440,1,2
U01441,1,1
U01442,3,3
U01443,2,2
U01444,2,2
U01445,9,12
U01446,1,1
U01447,1,1
U01448,1,1
U01449,2,2
U01450,8,11
U01451,7,11
U01452,2,2
U01453,2,2
U01454,2,2
U01455,11,14
U01456,1,1
U01457,1,1
U01458,1,1
U01459,1,1
U01460,10,13
U01461,1,1
U01462,1,1
U01463,7,13
U01464,1,1
U01465,2,2
U01466,2,2
U01467,1,1
U01468,2,2
U01469,2,2
U01470,2,2
U01471,1,1
U01472,8,12
U01473,9,15
U01474,1,2
U01475,9,15
U01476,1,1
U01477,1,1
U01478,1,1
U01479,1,1
U01480,1,1
U01481,1,1
U01482,2,2
U01483,1,1
U01484,1,1
U01485,1,1
U01486,1,1
U01487,2,2
U01488,7,12
U01489,1,1
U01490,1,1
U01491,2,3
U01492,4,4
U01493,1,1
U01494,1,1
U01495,1,1
U01496,9,13
U01497,9,13
U01498,1,1
U01499,1,1
U01500,9,13
U01501,1,1
U01502,1,1
U01503,1,1
U01504,1,1
U01505,3,3
U01506,9,15
U01507,3,3
U01508,1,1
U01509,1,1
U01510,2,2
U01511,6,13
U01512,8,12
U01513,1,1
U01514,1,1
U01515,1,1
U01516,1,1
U01517,10,14
U01518,1,1
U01519,2,2
U01520,1,1
U01521,1,1
U01522,8,14
U01523,1,1
U01524,1,1
U01525,2,2
U01526,9,12
U01527,1,1
U01528,10,14
U01529,3,3
U01530,8,15
U01531,8,14
U01532,1,1
U01533,3,3
U01534,1,1
U01535,3,4
U01536,8,12
U01537,3,3
U01538,1,1
U01539,1,1
U01540,1,1
U01541,4,4
U01542,1,1
U01543,10,16
U01544,1,1
U01545,1,1
U01546,1,1
U01547,2,2
U01548,1,1
U01549,1,1
U01550,1,1
U01551,1,1
U01552,1,1
U01553,10,15
U01554,4,4
U01555,1,1
U01556,2,2
U01557,1,1
U01558,1,1
U01559,1,1
U01560,1,1
U01561,1,1
U01562,1,1
U01563,1,1
U01564,1,1
U01565,1,1
U01566,1,1
U01567,1,1
U01568,3,3
U01569,1,1
U01570,2,2
U01571,2,2
U01572,1,1
U01573,2,2
U01574,1,1
U01575,7,13
U01576,2,2
U01577,1,1
U01578,10,15
U01579,1,1
U01580,2,2
U01581,2,2
U01582,1,1
U01583,1,1
U01584,1,1
U01585,6,11
U01586,9,14
U01587,2,2
U01588,1,1
U01589,1,1
U01590,1,1
U01591,2,2
U01592,4,4
U01593,1,1
U01594,1,1
U01595,2,2
U01596,2,2
U01597,1,1
U01598,1,1
U01599,1,1
U01600,1,1
U01601,2,2
U01602,10,13
U01603,2,2
U01604,1,1
U01605,1,1
U01606,1,1
U01607,1,1
U01608,1,1
U01609,1,1
U01610,1,1
U01611,1,1
U01612,1,1
U01613,1,1
U01614,1,1
U01615,1,1
U01616,1,1
U01617,1,1
U01618,8,13
U01619,1,1
U01620,1,1
U01621,2,2
U01622,1,1
U01623,1,1
U01624,4,4
U01625,3,3
U01626,1,1
U01627,9,13
U01628,7,14
U01629,1,1
U01630,1,1
U01631,2,2
U01632,1,1
U01633,1,1
U01634,1,1
U01635,9,14
U01636,1,1
U01637,9,13
U01638,1,1
U01639,1,1
U01640,1,1
U01641,1,1
U01642,1,1
U01643,1,1
U01644,2,3
U01645,3,3
U01646,1,1
U01647,9,13
U01648,3,4
U01649,8,13
U01650,1,1
U01651,1,1
U01652,2,2
U01653,1,1
U01654,9,15
U01655,1,1
U01656,8,12
U01657,1,1
U01658,1,1
U01659,2,3
U01660,1,2
U01661,1,1
U01662,10,15
U01663,2,2
U01664,2,2
U01665,3,4
U01666,9,14
U01667,1,1
U01668,1,1
U01669,2,2
U01670,1,1
U01671,10,15
U01672,1,1
U01673,1,1
U01674,9,14
U01675,1,1
U01676,1,1
U01677,2,2
U01678,1,1
U01679,1,1
U01680,1,1
U01681,1,1
U01682,2,2
U01683,1,1
U01684,2,2
U01685,1,1
U01686,1,1
U01687,1,2
U01688,2,2
U01689,1,1
U01690,4,4
U01691,1,1
U01692,10,12
U01693,2,2
U01694,1,1
U01695,9,13
U01696,2,2
U01697,1,1
U01698,1,1
U01699,1,1
U01700,1,1
U01701,1,1
U01702,8,14
U01703,3,3
U01704,2,2
U01705,1,1
U01706,1,1
U01707,3,3
U01708,9,14
U01709,1,1
U01710,1,1
U01711,1,1
U01712,1,1
U01713,4,4
U01714,1,1
U01715,1,1
U01716,1,1
U01717,1,1
U01718,1,1
U01719,1,1
U01720,8,15
U01721,7,10
U01722,1,1
U01723,1,1
U01724,10,16
U01725,2,2
U01726,9,13
U01727,1,1
U01728,2,2
U01729,10,15
U01730,1,1
U01731,1,1
U01732,2,2
U01733,4,4
U01734,3,3
U01735,1,1
U01736,1,1
U01737,1,1
U01738,1,1
U01739,1,1
U01740,1,1
U01741,2,2
U01742,1,2
U01743,1,1
U01744,4,4
