UserID,TotalEnrollments,UniqueCourses,UniqueCategories,UniqueLevels,TotalSpend,AverageTransactionAmount,Age,Gender,AgeGroup,ActivitySegment
U00064,1,1,1,1,276.37,276.37,33,Female,26-35,Low Activity
U00065,1,1,1,1,0.0,0.0,29,Male,26-35,Low Activity
U00066,1,1,1,1,327.99,327.99,26,Female,26-35,Low Activity
U00067,1,1,1,1,119.04,119.04,28,Female,26-35,Low Activity
U00068,1,1,1,1,0.0,0.0,32,Male,26-35,Low Activity
U00069,2,2,2,2,0.0,0.0,27,Female,26-35,Low Activity
U00070,2,2,2,1,0.0,0.0,25,Female,18-25,Low Activity
U00071,14,14,8,3,641.94,45.85285714285715,30,Female,26-35,Very High Activity
U00072,1,1,1,1,326.02,326.02,17,Female,<18,Low Activity
U00073,1,1,1,1,0.78,0.78,16,Male,<18,Low Activity
U00074,3,3,2,1,963.18,321.06,19,Male,18-25,Moderate Activity
U00075,1,1,1,1,0.0,0.0,22,Male,18-25,Low Activity
U00076,4,4,4,2,472.28,118.07,34,Male,26-35,Moderate Activity
U00077,1,1,1,1,0.0,0.0,20,Male,18-25,Low Activity
U00078,1,1,1,1,0.0,0.0,32,Female,26-35,Low Activity
U00079,1,1,1,1,0.0,0.0,28,Male,26-35,Low Activity
U00080,1,1,1,1,0.0,0.0,35,Female,26-35,Low Activity
U00081,1,1,1,1,0.0,0.0,18,Female,18-25,Low Activity
U00082,1,1,1,1,0.0,0.0,31,Male,26-35,Low Activity
U00083,15,15,9,3,1661.3,110.75333333333333,16,Male,<18,Very High Activity
U00084,1,1,1,1,327.99,327.99,20,Male,18-25,Low Activity
U00085,13,13,7,3,1149.12,88.39384615384614,22,Female,18-25,Very High Activity
U00086,4,4,4,3,53.86,13.465,27,Female,26-35,Moderate Activity
U00087,3,3,3,2,0.0,0.0,19,Female,18-25,Moderate Activity
U00088,1,1,1,1,0.0,0.0,23,Male,18-25,Low Activity
U00089,1,1,1,1,0.0,0.0,30,Male,26-35,Low Activity
U00090,1,1,1,1,0.0,0.0,34,Male,26-35,Low Activity
U00091,1,1,1,1,0.0,0.0,35,Male,26-35,Low Activity
U00092,4,4,4,2,594.81,148.7025,31,Male,26-35,Moderate Activity
U00093,1,1,1,1,285.05,285.05,16,Male,<18,Low Activity
U00094,1,1,1,1,299.57,299.57,27,Male,26-35,Low Activity
U00095,1,1,1,1,248.1,248.1,20,Male,18-25,Low Activity
U00096,4,4,3,2,0.0,0.0,34,Female,26-35,Moderate Activity
U00097,2,2,2,1,0.0,0.0,25,Male,18-25,Low Activity
U00098,1,1,1,1,0.0,0.0,31,Male,26-35,Low Activity
U00099,1,1,1,1,299.57,299.57,29,Female,26-35,Low Activity
U00100,1,1,1,1,0.0,0.0,32,Female,26-35,Low Activity
U00101,1,1,1,1,89.59,89.59,15,Female,<18,Low Activity
U00102,1,1,1,1,299.57,299.57,32,Male,26-35,Low Activity
U00103,1,1,1,1,0.0,0.0,30,Female,26-35,Low Activity
U00104,1,1,1,1,53.86,53.86,19,Male,18-25,Low Activity
U00105,1,1,1,1,299.57,299.57,27,Male,26-35,Low Activity
U00106,2,2,2,2,57.32,28.66,19,Male,18-25,Low Activity
U00107,1,1,1,1,0.0,0.0,18,Female,18-25,Low Activity
U00108,2,2,2,2,0.0,0.0,32,Male,26-35,Low Activity
U00109,14,14,10,3,869.77,62.12642857142857,15,Female,<18,Very High Activity
U00110,1,1,1,1,487.92,487.92,26,Female,26-35,Low Activity
U00111,1,1,1,1,0.0,0.0,24,Male,18-25,Low Activity
U00112,14,14,9,3,565.8,40.41428571428571,34,Female,26-35,Very High Activity
U00113,1,1,1,1,346.71,346.71,19,Male,18-25,Low Activity
U00114,1,1,1,1,0.0,0.0,22,Female,18-25,Low Activity
U00115,1,1,1,1,0.0,0.0,32,Female,26-35,Low Activity
U00116,1,1,1,1,0.0,0.0,31,Male,26-35,Low Activity
U00117,13,13,9,3,1885.87,145.06692307692308,19,Female,18-25,Very High Activity
U00118,1,1,1,1,0.0,0.0,28,Female,26-35,Low Activity
U00119,1,1,1,1,57.32,57.32,28,Male,26-35,Low Activity
U00120,2,2,2,2,415.51,207.755,15,Male,<18,Low Activity
U00121,2,2,2,2,328.77,164.385,27,Female,26-35,Low Activity
U00122,2,2,2,2,0.0,0.0,21,Female,18-25,Low Activity
U00123,2,2,2,2,356.89,178.445,18,Female,18-25,Low Activity
U00124,2,2,2,2,460.49,230.245,19,Female,18-25,Low Activity
U00125,2,2,2,2,326.02,163.01,35,Female,26-35,Low Activity
U00126,14,14,7,3,1084.57,77.4692857142857,23,Female,18-25,Very High Activity
U00127,3,3,3,2,903.4300000000001,301.1433333333334,34,Female,26-35,Moderate Activity
U00128,13,13,8,3,1813.65,139.51153846153846,35,Female,26-35,Very High Activity
U00129,2,2,2,1,415.51,207.755,19,Male,18-25,Low Activity
U00130,1,1,1,1,248.1,248.1,17,Male,<18,Low Activity
U00131,1,1,1,1,0.0,0.0,19,Male,18-25,Low Activity
U00132,1,1,1,1,0.0,0.0,22,Male,18-25,Low Activity
U00133,14,14,9,3,828.33,59.166428571428575,21,Male,18-25,Very High Activity
U00134,14,14,8,3,1438.21,102.72928571428572,26,Female,26-35,Very High Activity
U00135,1,1,1,1,0.0,0.0,17,Female,<18,Low Activity
U00136,1,1,1,1,0.0,0.0,25,Female,18-25,Low Activity
U00137,2,2,2,2,460.29,230.145,15,Female,<18,Low Activity
U00138,2,2,2,2,0.0,0.0,26,Male,26-35,Low Activity
U00139,4,4,4,2,248.1,62.025,16,Female,<18,Moderate Activity
U00140,2,2,2,2,53.86,26.93,24,Female,18-25,Low Activity
U00141,1,1,1,1,0.0,0.0,20,Male,18-25,Low Activity
U00142,1,1,1,1,472.28,472.28,17,Female,<18,Low Activity
U00143,2,2,2,2,177.34,88.67,26,Male,26-35,Low Activity
U00144,13,13,7,3,953.67,73.35923076923076,24,Female,18-25,Very High Activity
U00145,1,1,1,1,0.0,0.0,23,Female,18-25,Low Activity
U00146,1,1,1,1,0.0,0.0,30,Female,26-35,Low Activity
U00147,12,12,9,3,1195.68,99.64,30,Male,26-35,Very High Activity
U00148,1,1,1,1,0.0,0.0,35,Female,26-35,Low Activity
U00149,10,10,8,3,906.41,90.64099999999999,17,Female,<18,High Activity
U00150,2,2,2,2,0.0,0.0,25,Male,18-25,Low Activity
U00151,1,1,1,1,0.0,0.0,16,Female,<18,Low Activity
U00152,12,12,9,3,1368.9199999999998,114.07666666666665,19,Female,18-25,Very High Activity
U00153,2,2,2,2,37.89,18.945,35,Male,26-35,Low Activity
U00154,1,1,1,1,248.1,248.1,29,Male,26-35,Low Activity
U00155,2,2,2,2,0.0,0.0,27,Male,26-35,Low Activity
U00156,1,1,1,1,0.0,0.0,17,Male,<18,Low Activity
U00157,2,2,2,2,212.39,106.195,32,Female,26-35,Low Activity
U00158,1,1,1,1,0.0,0.0,35,Female,26-35,Low Activity
U00159,2,2,2,2,53.86,26.93,16,Male,<18,Low Activity
U00160,1,1,1,1,327.99,327.99,28,Female,26-35,Low Activity
U00161,11,11,7,3,605.6,55.054545454545455,25,Female,18-25,Very High Activity
U00162,1,1,1,1,0.0,0.0,26,Male,26-35,Low Activity
U00163,1,1,1,1,0.0,0.0,32,Female,26-35,Low Activity
U00164,2,2,1,2,0.0,0.0,32,Male,26-35,Low Activity
U00165,4,4,4,3,419.82,104.955,30,Male,26-35,Moderate Activity
U00166,15,15,9,3,248.88,16.592,33,Male,26-35,Very High Activity
U00167,1,1,1,1,0.0,0.0,31,Female,26-35,Low Activity
U00168,1,1,1,1,326.02,326.02,24,Female,18-25,Low Activity
U00169,13,13,11,3,567.16,43.62769230769231,24,Male,18-25,Very High Activity
U00170,3,3,3,1,0.0,0.0,34,Female,26-35,Moderate Activity
U00171,2,2,1,2,0.0,0.0,24,Male,18-25,Low Activity
U00172,1,1,1,1,0.0,0.0,35,Female,26-35,Low Activity
U00173,14,14,10,3,1094.82,78.20142857142856,31,Male,26-35,Very High Activity
U00174,1,1,1,1,212.39,212.39,29,Male,26-35,Low Activity
U00175,2,2,2,1,490.9,245.45,32,Female,26-35,Low Activity
U00176,1,1,1,1,0.0,0.0,34,Male,26-35,Low Activity
U00177,14,14,9,3,1526.54,109.03857142857143,29,Female,26-35,Very High Activity
U00178,14,14,10,3,236.72000000000003,16.90857142857143,20,Male,18-25,Very High Activity
U00179,2,2,2,2,487.92,243.96,34,Male,26-35,Low Activity
U00180,1,1,1,1,0.0,0.0,26,Female,26-35,Low Activity
U00181,1,1,1,1,299.57,299.57,32,Female,26-35,Low Activity
U00182,1,1,1,1,0.0,0.0,28,Female,26-35,Low Activity
U00183,1,1,1,1,0.0,0.0,33,Male,26-35,Low Activity
U00184,1,1,1,1,0.0,0.0,28,Male,26-35,Low Activity
U00185,1,1,1,1,57.32,57.32,27,Male,26-35,Low Activity
U00186,2,2,2,1,326.02,163.01,28,Female,26-35,Low Activity
U00187,1,1,1,1,472.28,472.28,18,Male,18-25,Low Activity
U00188,1,1,1,1,0.0,0.0,18,Male,18-25,Low Activity
U00189,1,1,1,1,0.0,0.0,18,Male,18-25,Low Activity
U00190,1,1,1,1,487.92,487.92,25,Female,18-25,Low Activity
U00191,12,12,8,3,2258.7,188.225,34,Male,26-35,Very High Activity
U00192,14,14,9,3,680.0699999999999,48.576428571428565,17,Male,<18,Very High Activity
U00193,1,1,1,1,0.0,0.0,33,Male,26-35,Low Activity
U00194,1,1,1,1,0.0,0.0,35,Male,26-35,Low Activity
U00195,1,1,1,1,346.71,346.71,15,Male,<18,Low Activity
U00196,1,1,1,1,394.26,394.26,23,Female,18-25,Low Activity
U00197,1,1,1,1,0.0,0.0,35,Female,26-35,Low Activity
U00198,12,12,7,3,1242.3400000000001,103.52833333333335,30,Female,26-35,Very High Activity
U00199,1,1,1,1,0.0,0.0,24,Female,18-25,Low Activity
U00200,4,4,3,1,269.71,67.4275,32,Male,26-35,Moderate Activity
U00201,3,3,3,3,691.88,230.62666666666667,16,Male,<18,Moderate Activity
U00202,1,1,1,1,0.0,0.0,28,Female,26-35,Low Activity
U00203,2,2,2,2,326.02,163.01,25,Female,18-25,Low Activity
U00204,1,1,1,1,0.0,0.0,28,Female,26-35,Low Activity
U00205,1,1,1,1,342.61,342.61,32,Male,26-35,Low Activity
U00206,1,1,1,1,89.59,89.59,19,Female,18-25,Low Activity
U00207,2,2,2,2,177.34,88.67,33,Male,26-35,Low Activity
U00208,15,15,10,3,507.62,33.84133333333333,18,Female,18-25,Very High Activity
U00209,1,1,1,1,0.0,0.0,26,Male,26-35,Low Activity
U00210,2,2,2,2,37.89,18.945,30,Male,26-35,Low Activity
U00211,1,1,1,1,0.0,0.0,22,Male,18-25,Low Activity
U00212,2,2,2,1,0.0,0.0,30,Female,26-35,Low Activity
U00213,2,2,2,2,299.57,149.785,15,Male,<18,Low Activity
U00214,1,1,1,1,89.59,89.59,24,Female,18-25,Low Activity
U00215,1,1,1,1,326.02,326.02,28,Male,26-35,Low Activity
U00216,16,16,10,3,1405.87,87.866875,23,Male,18-25,Very High Activity
U00217,1,1,1,1,37.89,37.89,28,Male,26-35,Low Activity
U00218,1,1,1,1,0.0,0.0,15,Female,<18,Low Activity
U00219,1,1,1,1,0.0,0.0,23,Female,18-25,Low Activity
U00220,15,15,11,3,300.34999999999997,20.02333333333333,20,Male,18-25,Very High Activity
U00221,1,1,1,1,0.0,0.0,27,Male,26-35,Low Activity
U00222,1,1,1,1,0.78,0.78,28,Male,26-35,Low Activity
U00223,1,1,1,1,0.0,0.0,35,Female,26-35,Low Activity
U00224,1,1,1,1,490.9,490.9,15,Female,<18,Low Activity
U00225,1,1,1,1,0.0,0.0,18,Male,18-25,Low Activity
U00226,1,1,1,1,346.71,346.71,34,Female,26-35,Low Activity
U00227,2,2,2,2,0.0,0.0,23,Male,18-25,Low Activity
U00228,1,1,1,1,117.68,117.68,18,Male,18-25,Low Activity
U00229,2,2,2,2,0.0,0.0,22,Male,18-25,Low Activity
U00230,2,2,2,2,119.04,59.52,17,Female,<18,Low Activity
U00231,2,2,2,1,213.17,106.585,16,Male,<18,Low Activity
U00232,1,1,1,1,0.0,0.0,26,Female,26-35,Low Activity
U00233,1,1,1,1,119.04,119.04,32,Male,26-35,Low Activity
U00234,2,2,2,2,326.02,163.01,32,Male,26-35,Low Activity
U00235,3,3,2,2,472.28,157.42666666666665,34,Male,26-35,Moderate Activity
U00236,1,1,1,1,394.26,394.26,25,Female,18-25,Low Activity
U00237,1,1,1,1,0.0,0.0,20,Male,18-25,Low Activity
U00238,15,15,10,3,1872.92,124.86133333333333,24,Female,18-25,Very High Activity
U00239,1,1,1,1,0.0,0.0,32,Female,26-35,Low Activity
U00240,2,2,2,2,0.0,0.0,34,Female,26-35,Low Activity
U00241,2,2,2,2,0.0,0.0,23,Female,18-25,Low Activity
U00242,2,2,2,2,266.93,133.465,27,Male,26-35,Low Activity
U00243,1,1,1,1,177.34,177.34,24,Female,18-25,Low Activity
U00244,1,1,1,1,276.37,276.37,28,Male,26-35,Low Activity
U00245,1,1,1,1,0.0,0.0,31,Female,26-35,Low Activity
U00246,1,1,1,1,472.28,472.28,31,Male,26-35,Low Activity
U00247,1,1,1,1,0.0,0.0,30,Female,26-35,Low Activity
U00248,1,1,1,1,0.0,0.0,17,Male,<18,Low Activity
U00249,1,1,1,1,0.0,0.0,35,Female,26-35,Low Activity
U00250,1,1,1,1,342.61,342.61,21,Male,18-25,Low Activity
U00251,13,13,9,3,1310.57,100.81307692307692,28,Female,26-35,Very High Activity
U00252,1,1,1,1,0.0,0.0,29,Female,26-35,Low Activity
U00253,1,1,1,1,0.0,0.0,19,Male,18-25,Low Activity
U00254,1,1,1,1,0.0,0.0,19,Female,18-25,Low Activity
U00255,1,1,1,1,394.26,394.26,26,Female,26-35,Low Activity
U00256,1,1,1,1,0.0,0.0,35,Female,26-35,Low Activity
U00257,1,1,1,1,0.0,0.0,29,Male,26-35,Low Activity
U00258,1,1,1,1,117.68,117.68,19,Male,18-25,Low Activity
U00259,1,1,1,1,342.61,342.61,35,Male,26-35,Low Activity
U00260,15,15,9,3,2445.2,163.01333333333332,35,Male,26-35,Very High Activity
U00261,1,1,1,1,0.0,0.0,28,Female,26-35,Low Activity
U00262,1,1,1,1,0.0,0.0,24,Male,18-25,Low Activity
U00263,4,4,4,3,0.0,0.0,15,Male,<18,Moderate Activity
U00264,3,3,3,1,0.0,0.0,18,Female,18-25,Moderate Activity
U00265,14,14,9,3,2087.85,149.13214285714284,15,Male,<18,Very High Activity
U00266,1,1,1,1,212.39,212.39,25,Female,18-25,Low Activity
U00267,4,4,3,3,906.53,226.6325,34,Male,26-35,Moderate Activity
U00268,1,1,1,1,0.0,0.0,29,Female,26-35,Low Activity
U00269,1,1,1,1,0.0,0.0,22,Female,18-25,Low Activity
U00270,1,1,1,1,0.0,0.0,23,Male,18-25,Low Activity
U00271,1,1,1,1,0.0,0.0,15,Male,<18,Low Activity
U00272,13,13,8,3,1229.1999999999998,94.55384615384614,25,Male,18-25,Very High Activity
U00273,1,1,1,1,0.0,0.0,25,Female,18-25,Low Activity
U00274,2,2,2,1,177.34,88.67,32,Female,26-35,Low Activity
U00275,1,1,1,1,0.0,0.0,28,Female,26-35,Low Activity
U00276,1,1,1,1,299.57,299.57,22,Female,18-25,Low Activity
U00277,1,1,1,1,0.0,0.0,21,Male,18-25,Low Activity
U00278,1,1,1,1,0.0,0.0,27,Male,26-35,Low Activity
U00279,3,3,3,1,295.02,98.33999999999999,24,Male,18-25,Moderate Activity
U00280,1,1,1,1,299.57,299.57,15,Male,<18,Low Activity
U00281,1,1,1,1,0.0,0.0,30,Female,26-35,Low Activity
U00282,14,14,9,3,1034.17,73.86928571428572,19,Male,18-25,Very High Activity
U00283,2,2,2,1,0.0,0.0,28,Male,26-35,Low Activity
U00284,1,1,1,1,342.61,342.61,30,Male,26-35,Low Activity
U00285,1,1,1,1,57.32,57.32,29,Female,26-35,Low Activity
U00286,3,3,2,2,0.0,0.0,24,Female,18-25,Moderate Activity
U00287,2,2,2,2,0.0,0.0,21,Female,18-25,Low Activity
U00288,1,1,1,1,0.0,0.0,35,Male,26-35,Low Activity
U00289,1,1,1,1,0.78,0.78,17,Female,<18,Low Activity
U00290,3,3,3,3,57.32,19.106666666666666,17,Female,<18,Moderate Activity
U00291,3,3,3,3,276.37,92.12333333333333,16,Female,<18,Moderate Activity
U00292,12,12,8,3,965.62,80.46833333333333,33,Male,26-35,Very High Activity
U00293,13,13,9,3,1426.48,109.72923076923077,25,Female,18-25,Very High Activity
U00294,1,1,1,1,0.0,0.0,21,Female,18-25,Low Activity
U00295,1,1,1,1,0.0,0.0,29,Male,26-35,Low Activity
U00296,2,2,2,2,177.34,88.67,31,Female,26-35,Low Activity
U00297,1,1,1,1,0.0,0.0,29,Male,26-35,Low Activity
U00298,14,14,7,3,2020.42,144.31571428571428,32,Male,26-35,Very High Activity
U00299,1,1,1,1,0.0,0.0,20,Female,18-25,Low Activity
U00300,2,2,2,2,487.92,243.96,26,Female,26-35,Low Activity
U00301,14,14,9,3,1201.4299999999998,85.81642857142856,26,Male,26-35,Very High Activity
U00302,1,1,1,1,37.89,37.89,34,Female,26-35,Low Activity
U00303,14,14,7,3,1085.94,77.56714285714285,35,Male,26-35,Very High Activity
U00304,1,1,1,1,327.99,327.99,35,Male,26-35,Low Activity
U00305,1,1,1,1,0.0,0.0,22,Male,18-25,Low Activity
U00306,1,1,1,1,0.0,0.0,28,Male,26-35,Low Activity
U00307,1,1,1,1,0.0,0.0,33,Female,26-35,Low Activity
U00308,4,4,4,1,790.47,197.6175,26,Male,26-35,Moderate Activity
U00309,1,1,1,1,342.61,342.61,27,Male,26-35,Low Activity
U00310,11,11,8,3,465.17,42.28818181818182,26,Female,26-35,Very High Activity
U00311,1,1,1,1,0.0,0.0,18,Female,18-25,Low Activity
U00312,1,1,1,1,0.0,0.0,30,Female,26-35,Low Activity
U00313,1,1,1,1,0.0,0.0,29,Female,26-35,Low Activity
U00314,3,3,2,1,0.0,0.0,19,Female,18-25,Moderate Activity
U00315,12,12,9,3,972.29,81.02416666666666,31,Female,26-35,Very High Activity
U00316,2,2,2,2,0.0,0.0,19,Female,18-25,Low Activity
U00317,3,3,3,2,57.32,19.106666666666666,19,Male,18-25,Moderate Activity
U00318,1,1,1,1,326.02,326.02,20,Male,18-25,Low Activity
U00319,1,1,1,1,346.71,346.71,15,Female,<18,Low Activity
U00320,1,1,1,1,285.05,285.05,29,Male,26-35,Low Activity
U00321,14,14,8,3,1822.94,130.21,28,Male,26-35,Very High Activity
U00322,14,14,7,3,626.3,44.73571428571428,23,Male,18-25,Very High Activity
U00323,15,15,8,3,948.99,63.266,21,Female,18-25,Very High Activity
U00324,1,1,1,1,0.0,0.0,16,Male,<18,Low Activity
U00325,1,1,1,1,0.0,0.0,26,Male,26-35,Low Activity
U00326,1,1,1,1,0.0,0.0,25,Female,18-25,Low Activity
U00327,4,4,3,3,177.34,44.335,31,Female,26-35,Moderate Activity
U00328,15,15,8,3,1319.8899999999999,87.99266666666666,29,Female,26-35,Very High Activity
U00329,12,12,8,3,1632.4199999999998,136.035,20,Female,18-25,Very High Activity
U00330,14,14,8,3,1268.62,90.61571428571428,15,Female,<18,Very High Activity
U00331,1,1,1,1,276.37,276.37,17,Male,<18,Low Activity
U00332,1,1,1,1,0.0,0.0,25,Male,18-25,Low Activity
U00333,1,1,1,1,0.0,0.0,26,Female,26-35,Low Activity
U00334,13,13,9,3,887.52,68.27076923076923,24,Female,18-25,Very High Activity
U00335,1,1,1,1,0.0,0.0,33,Female,26-35,Low Activity
U00336,1,1,1,1,0.0,0.0,19,Male,18-25,Low Activity
U00337,1,1,1,1,0.0,0.0,29,Female,26-35,Low Activity
U00338,14,14,8,3,832.77,59.48357142857143,23,Female,18-25,Very High Activity
U00339,16,16,10,3,2087.63,130.476875,29,Male,26-35,Very High Activity
U00340,14,14,8,3,1220.42,87.17285714285715,30,Male,26-35,Very High Activity
U00341,1,1,1,1,0.0,0.0,24,Male,18-25,Low Activity
U00342,1,1,1,1,0.0,0.0,26,Female,26-35,Low Activity
U00343,1,1,1,1,0.0,0.0,31,Male,26-35,Low Activity
U00344,1,1,1,1,0.0,0.0,17,Male,<18,Low Activity
U00345,15,15,9,3,1367.21,91.14733333333334,16,Male,<18,Very High Activity
U00346,3,3,3,2,326.02,108.67333333333333,33,Female,26-35,Moderate Activity
U00347,2,2,2,2,346.71,173.355,32,Female,26-35,Low Activity
U00348,1,1,1,1,299.57,299.57,30,Female,26-35,Low Activity
U00349,1,1,1,1,0.0,0.0,28,Male,26-35,Low Activity
U00350,2,2,2,2,89.59,44.795,17,Male,<18,Low Activity
U00351,13,13,8,3,777.1,59.776923076923076,18,Female,18-25,Very High Activity
U00352,15,15,10,3,1009.69,67.31266666666667,28,Male,26-35,Very High Activity
U00353,14,14,10,3,918.31,65.59357142857142,34,Female,26-35,Very High Activity
U00354,2,2,1,2,0.0,0.0,35,Male,26-35,Low Activity
U00355,1,1,1,1,0.0,0.0,15,Female,<18,Low Activity
U00356,15,15,10,3,619.16,41.27733333333333,21,Female,18-25,Very High Activity
U00357,15,15,10,3,2191.98,146.132,15,Female,<18,Very High Activity
U00358,1,1,1,1,0.0,0.0,19,Male,18-25,Low Activity
U00359,1,1,1,1,0.0,0.0,29,Female,26-35,Low Activity
U00360,1,1,1,1,0.0,0.0,32,Male,26-35,Low Activity
U00361,1,1,1,1,0.0,0.0,18,Female,18-25,Low Activity
U00362,13,13,8,3,1113.03,85.61769230769231,16,Male,<18,Very High Activity
U00363,1,1,1,1,0.0,0.0,32,Female,26-35,Low Activity
U00364,1,1,1,1,0.0,0.0,34,Male,26-35,Low Activity
U00365,13,13,7,3,500.28000000000003,38.48307692307692,30,Female,26-35,Very High Activity
U00366,2,2,2,2,0.0,0.0,28,Male,26-35,Low Activity
U00367,1,1,1,1,0.0,0.0,21,Male,18-25,Low Activity
U00368,1,1,1,1,0.0,0.0,26,Male,26-35,Low Activity
U00369,4,4,4,2,0.0,0.0,19,Male,18-25,Moderate Activity
U00370,2,2,2,2,606.96,303.48,17,Male,<18,Low Activity
U00371,1,1,1,1,0.0,0.0,17,Female,<18,Low Activity
U00372,1,1,1,1,0.78,0.78,23,Male,18-25,Low Activity
U00373,1,1,1,1,0.0,0.0,26,Female,26-35,Low Activity
U00374,1,1,1,1,0.0,0.0,28,Female,26-35,Low Activity
U00375,1,1,1,1,326.02,326.02,34,Female,26-35,Low Activity
U00376,1,1,1,1,0.0,0.0,29,Male,26-35,Low Activity
U00377,1,1,1,1,177.34,177.34,21,Female,18-25,Low Activity
U00378,2,2,2,2,0.0,0.0,21,Female,18-25,Low Activity
U00379,14,14,8,3,3054.37,218.1692857142857,20,Male,18-25,Very High Activity
U00380,1,1,1,1,0.78,0.78,23,Female,18-25,Low Activity
U00381,1,1,1,1,0.0,0.0,32,Male,26-35,Low Activity
U00382,3,3,3,3,394.26,131.42,25,Male,18-25,Moderate Activity
U00383,15,15,10,3,1668.4,111.22666666666667,29,Female,26-35,Very High Activity
