UserID,TotalEnrollments,UniqueCourses,UniqueCategories,UniqueLevels,ActivitySegment
U00365,13,13,7,3,Very High Activity
U00366,2,2,2,2,Low Activity
U00367,1,1,1,1,Low Activity
U00368,1,1,1,1,Low Activity
U00369,4,4,4,2,Moderate Activity
U00370,2,2,2,2,Low Activity
U00371,1,1,1,1,Low Activity
U00372,1,1,1,1,Low Activity
U00373,1,1,1,1,Low Activity
U00374,1,1,1,1,Low Activity
U00375,1,1,1,1,Low Activity
U00376,1,1,1,1,Low Activity
U00377,1,1,1,1,Low Activity
U00378,2,2,2,2,Low Activity
U00379,14,14,8,3,Very High Activity
U00380,1,1,1,1,Low Activity
U00381,1,1,1,1,Low Activity
U00382,3,3,3,3,Moderate Activity
U00383,15,15,10,3,Very High Activity
U00384,2,2,2,2,Low Activity
U00385,1,1,1,1,Low Activity
U00386,2,2,2,1,Low Activity
U00387,1,1,1,1,Low Activity
U00388,1,1,1,1,Low Activity
U00389,1,1,1,1,Low Activity
U00390,3,3,2,2,Moderate Activity
U00391,1,1,1,1,Low Activity
U00392,1,1,1,1,Low Activity
U00393,1,1,1,1,Low Activity
U00394,11,11,7,3,Very High Activity
U00395,1,1,1,1,Low Activity
U00396,2,2,2,1,Low Activity
U00397,1,1,1,1,Low Activity
U00398,3,3,3,3,Moderate Activity
U00399,12,12,8,3,Very High Activity
U00400,2,2,2,2,Low Activity
U00401,2,2,2,2,Low Activity
U00402,2,2,2,1,Low Activity
U00403,1,1,1,1,Low Activity
U00404,14,14,10,3,Very High Activity
U00405,2,2,1,2,Low Activity
U00406,15,15,11,3,Very High Activity
U00407,15,15,10,3,Very High Activity
U00408,1,1,1,1,Low Activity
U00409,2,2,2,2,Low Activity
U00410,1,1,1,1,Low Activity
U00411,12,12,8,3,Very High Activity
U00412,4,4,3,3,Moderate Activity
U00413,2,2,2,2,Low Activity
U00414,1,1,1,1,Low Activity
U00415,13,13,7,3,Very High Activity
U00416,2,2,2,1,Low Activity
U00417,2,2,2,1,Low Activity
U00418,3,3,3,2,Moderate Activity
U00419,1,1,1,1,Low Activity
U00420,1,1,1,1,Low Activity
U00421,1,1,1,1,Low Activity
U00422,3,3,3,2,Moderate Activity
U00423,12,12,6,3,Very High Activity
U00424,11,11,7,3,Very High Activity
U00425,1,1,1,1,Low Activity
U00426,4,4,3,1,Moderate Activity
U00427,16,16,9,3,Very High Activity
U00428,1,1,1,1,Low Activity
U00429,1,1,1,1,Low Activity
U00430,1,1,1,1,Low Activity
U00431,1,1,1,1,Low Activity
U00432,1,1,1,1,Low Activity
U00433,1,1,1,1,Low Activity
U00434,1,1,1,1,Low Activity
U00435,1,1,1,1,Low Activity
U00436,1,1,1,1,Low Activity
U00437,3,3,3,2,Moderate Activity
U00438,14,14,10,3,Very High Activity
U00439,1,1,1,1,Low Activity
U00440,1,1,1,1,Low Activity
U00441,1,1,1,1,Low Activity
U00442,1,1,1,1,Low Activity
U00443,2,2,2,2,Low Activity
U00444,13,13,10,3,Very High Activity
U00445,1,1,1,1,Low Activity
U00446,2,2,2,1,Low Activity
U00447,1,1,1,1,Low Activity
U00448,3,3,2,2,Moderate Activity
U00449,14,14,10,3,Very High Activity
U00450,12,12,7,3,Very High Activity
U00451,1,1,1,1,Low Activity
U00452,3,3,3,1,Moderate Activity
U00453,1,1,1,1,Low Activity
U00454,4,4,3,2,Moderate Activity
U00455,3,3,3,2,Moderate Activity
U00456,2,2,2,2,Low Activity
U00457,2,2,2,1,Low Activity
U00458,4,4,4,2,Moderate Activity
U00459,1,1,1,1,Low Activity
U00460,2,2,2,2,Low Activity
U00461,2,2,2,2,Low Activity
U00462,2,2,2,2,Low Activity
U00463,1,1,1,1,Low Activity
U00464,12,12,7,3,Very High Activity
U00465,1,1,1,1,Low Activity
U00466,2,2,2,2,Low Activity
U00467,1,1,1,1,Low Activity
U00468,1,1,1,1,Low Activity
U00469,2,2,2,2,Low Activity
U00470,1,1,1,1,Low Activity
U00471,1,1,1,1,Low Activity
U00472,1,1,1,1,Low Activity
U00473,3,3,3,2,Moderate Activity
U00474,1,1,1,1,Low Activity
U00475,3,3,3,3,Moderate Activity
U00476,2,2,2,1,Low Activity
U00477,1,1,1,1,Low Activity
U00478,2,2,2,2,Low Activity
U00479,2,2,2,2,Low Activity
U00480,1,1,1,1,Low Activity
U00481,1,1,1,1,Low Activity
U00482,1,1,1,1,Low Activity
U00483,1,1,1,1,Low Activity
U00484,2,2,2,1,Low Activity
U00485,1,1,1,1,Low Activity
U00486,2,2,2,1,Low Activity
U00487,2,2,1,2,Low Activity
U00488,2,2,2,2,Low Activity
U00489,3,3,3,2,Moderate Activity
U00490,1,1,1,1,Low Activity
U00491,1,1,1,1,Low Activity
U00492,1,1,1,1,Low Activity
U00493,1,1,1,1,Low Activity
U00494,13,13,10,3,Very High Activity
U00495,2,2,2,1,Low Activity
U00496,1,1,1,1,Low Activity
U00497,3,3,2,1,Moderate Activity
U00498,3,3,3,1,Moderate Activity
U00499,1,1,1,1,Low Activity
U00500,2,2,2,2,Low Activity
U00501,1,1,1,1,Low Activity
U00502,2,2,2,2,Low Activity
U00503,2,2,2,1,Low Activity
U00504,2,2,2,2,Low Activity
U00505,1,1,1,1,Low Activity
U00506,1,1,1,1,Low Activity
U00507,2,2,2,2,Low Activity
U00508,1,1,1,1,Low Activity
U00509,1,1,1,1,Low Activity
U00510,1,1,1,1,Low Activity
U00511,1,1,1,1,Low Activity
U00512,2,2,2,2,Low Activity
U00513,1,1,1,1,Low Activity
U00514,3,3,2,2,Moderate Activity
U00515,2,2,2,2,Low Activity
U00516,1,1,1,1,Low Activity
U00517,1,1,1,1,Low Activity
U00518,1,1,1,1,Low Activity
U00519,1,1,1,1,Low Activity
U00520,1,1,1,1,Low Activity
U00521,1,1,1,1,Low Activity
U00522,1,1,1,1,Low Activity
U00523,1,1,1,1,Low Activity
U00524,2,2,1,2,Low Activity
U00525,1,1,1,1,Low Activity
U00526,1,1,1,1,Low Activity
U00527,2,2,2,2,Low Activity
U00528,1,1,1,1,Low Activity
U00529,2,2,2,2,Low Activity
U00530,1,1,1,1,Low Activity
U00531,2,2,2,2,Low Activity
U00532,1,1,1,1,Low Activity
U00533,2,2,2,2,Low Activity
U00534,4,4,4,2,Moderate Activity
U00535,2,2,2,1,Low Activity
U00536,1,1,1,1,Low Activity
U00537,2,2,2,1,Low Activity
U00538,1,1,1,1,Low Activity
U00539,1,1,1,1,Low Activity
U00540,1,1,1,1,Low Activity
U00541,3,3,3,1,Moderate Activity
U00542,1,1,1,1,Low Activity
U00543,13,13,10,3,Very High Activity
U00544,1,1,1,1,Low Activity
U00545,1,1,1,1,Low Activity
U00546,1,1,1,1,Low Activity
U00547,1,1,1,1,Low Activity
U00548,14,14,9,3,Very High Activity
U00549,1,1,1,1,Low Activity
U00550,2,2,2,1,Low Activity
U00551,4,4,4,2,Moderate Activity
U00552,2,2,2,1,Low Activity
U00553,2,2,2,1,Low Activity
U00554,1,1,1,1,Low Activity
U00555,1,1,1,1,Low Activity
U00556,14,14,9,2,Very High Activity
U00557,2,2,2,1,Low Activity
U00558,1,1,1,1,Low Activity
U00559,11,11,9,3,Very High Activity
U00560,2,2,2,1,Low Activity
U00561,1,1,1,1,Low Activity
U00562,15,15,10,3,Very High Activity
U00563,2,2,2,2,Low Activity
U00564,1,1,1,1,Low Activity
U00565,2,2,2,1,Low Activity
U00566,2,2,2,2,Low Activity
U00567,1,1,1,1,Low Activity
U00568,1,1,1,1,Low Activity
U00569,14,14,7,3,Very High Activity
U00570,14,14,9,3,Very High Activity
U00571,2,2,2,1,Low Activity
U00572,13,13,9,3,Very High Activity
U00573,11,11,8,3,Very High Activity
U00574,14,14,9,3,Very High Activity
U00575,1,1,1,1,Low Activity
U00576,13,13,9,3,Very High Activity
U00577,1,1,1,1,Low Activity
U00578,1,1,1,1,Low Activity
U00579,1,1,1,1,Low Activity
U00580,3,3,3,2,Moderate Activity
U00581,2,2,2,2,Low Activity
U00582,1,1,1,1,Low Activity
U00583,1,1,1,1,Low Activity
U00584,14,14,8,3,Very High Activity
U00585,2,2,2,1,Low Activity
U00586,1,1,1,1,Low Activity
U00587,2,2,2,2,Low Activity
U00588,1,1,1,1,Low Activity
U00589,1,1,1,1,Low Activity
U00590,1,1,1,1,Low Activity
U00591,2,2,2,2,Low Activity
U00592,14,14,8,3,Very High Activity
U00593,2,2,2,2,Low Activity
U00594,1,1,1,1,Low Activity
U00595,14,14,9,3,Very High Activity
U00596,2,2,2,2,Low Activity
U00597,1,1,1,1,Low Activity
U00598,1,1,1,1,Low Activity
U00599,1,1,1,1,Low Activity
U00600,1,1,1,1,Low Activity
U00601,1,1,1,1,Low Activity
U00602,3,3,3,2,Moderate Activity
U00603,2,2,2,2,Low Activity
U00604,14,14,9,3,Very High Activity
U00605,3,3,3,3,Moderate Activity
U00606,2,2,2,2,Low Activity
U00607,2,2,2,2,Low Activity
U00608,1,1,1,1,Low Activity
U00609,4,4,4,2,Moderate Activity
U00610,1,1,1,1,Low Activity
U00611,2,2,2,1,Low Activity
U00612,1,1,1,1,Low Activity
U00613,2,2,2,1,Low Activity
U00614,1,1,1,1,Low Activity
U00615,1,1,1,1,Low Activity
U00616,2,2,2,2,Low Activity
U00617,1,1,1,1,Low Activity
U00618,1,1,1,1,Low Activity
U00619,12,12,9,3,Very High Activity
U00620,1,1,1,1,Low Activity
U00621,2,2,2,2,Low Activity
U00622,13,13,8,3,Very High Activity
U00623,2,2,2,1,Low Activity
U00624,2,2,2,1,Low Activity
U00625,4,4,3,2,Moderate Activity
U00626,1,1,1,1,Low Activity
U00627,4,4,3,3,Moderate Activity
U00628,2,2,2,1,Low Activity
U00629,1,1,1,1,Low Activity
U00630,3,3,2,3,Moderate Activity
U00631,2,2,2,2,Low Activity
U00632,1,1,1,1,Low Activity
U00633,14,14,9,3,Very High Activity
U00634,3,3,2,1,Moderate Activity
U00635,1,1,1,1,Low Activity
U00636,13,13,10,3,Very High Activity
U00637,2,2,2,2,Low Activity
U00638,2,2,1,1,Low Activity
U00639,14,14,8,3,Very High Activity
U00640,1,1,1,1,Low Activity
U00641,1,1,1,1,Low Activity
U00642,2,2,2,2,Low Activity
U00643,1,1,1,1,Low Activity
U00644,1,1,1,1,Low Activity
U00645,1,1,1,1,Low Activity
U00646,1,1,1,1,Low Activity
U00647,1,1,1,1,Low Activity
U00648,2,2,2,2,Low Activity
U00649,1,1,1,1,Low Activity
U00650,1,1,1,1,Low Activity
U00651,4,4,3,3,Moderate Activity
U00652,2,2,2,2,Low Activity
U00653,1,1,1,1,Low Activity
U00654,2,2,2,1,Low Activity
U00655,1,1,1,1,Low Activity
U00656,1,1,1,1,Low Activity
U00657,1,1,1,1,Low Activity
U00658,1,1,1,1,Low Activity
U00659,2,2,2,1,Low Activity
U00660,2,2,2,2,Low Activity
U00661,4,4,3,3,Moderate Activity
U00662,1,1,1,1,Low Activity
U00663,1,1,1,1,Low Activity
U00664,1,1,1,1,Low Activity
U00665,1,1,1,1,Low Activity
U00666,12,12,9,3,Very High Activity
U00667,2,2,2,1,Low Activity
U00668,2,2,2,2,Low Activity
U00669,1,1,1,1,Low Activity
U00670,2,2,2,2,Low Activity
U00671,1,1,1,1,Low Activity
U00672,1,1,1,1,Low Activity
U00673,2,2,2,2,Low Activity
U00674,1,1,1,1,Low Activity
U00675,1,1,1,1,Low Activity
U00676,2,2,2,1,Low Activity
U00677,1,1,1,1,Low Activity
U00678,1,1,1,1,Low Activity
U00679,1,1,1,1,Low Activity
U00680,1,1,1,1,Low Activity
U00681,2,2,2,2,Low Activity
U00682,1,1,1,1,Low Activity
U00683,1,1,1,1,Low Activity
U00684,3,3,2,2,Moderate Activity
U00685,1,1,1,1,Low Activity
U00686,1,1,1,1,Low Activity
U00687,15,15,11,3,Very High Activity
U00688,2,2,1,1,Low Activity
U00689,2,2,2,2,Low Activity
U00690,1,1,1,1,Low Activity
U00691,1,1,1,1,Low Activity
U00692,1,1,1,1,Low Activity
U00693,1,1,1,1,Low Activity
U00694,1,1,1,1,Low Activity
U00695,1,1,1,1,Low Activity
U00696,1,1,1,1,Low Activity
U00697,1,1,1,1,Low Activity
U00698,2,2,2,1,Low Activity
U00699,2,2,2,2,Low Activity
U00700,1,1,1,1,Low Activity
U00701,14,14,10,3,Very High Activity
U00702,3,3,3,2,Moderate Activity
U00703,3,3,3,3,Moderate Activity
U00704,13,13,8,3,Very High Activity
U00705,1,1,1,1,Low Activity
U00706,2,2,2,2,Low Activity
U00707,1,1,1,1,Low Activity
U00708,1,1,1,1,Low Activity
U00709,14,14,10,3,Very High Activity
U00710,1,1,1,1,Low Activity
U00711,2,2,2,1,Low Activity
U00712,2,2,2,2,Low Activity
U00713,1,1,1,1,Low Activity
U00714,3,3,3,2,Moderate Activity
U00715,1,1,1,1,Low Activity
U00716,4,4,3,3,Moderate Activity
U00717,1,1,1,1,Low Activity
U00718,2,2,2,1,Low Activity
U00719,1,1,1,1,Low Activity
U00720,1,1,1,1,Low Activity
U00721,1,1,1,1,Low Activity
U00722,3,3,3,2,Moderate Activity
U00723,14,14,10,3,Very High Activity
U00724,15,15,9,3,Very High Activity
U00725,1,1,1,1,Low Activity
U00726,1,1,1,1,Low Activity
U00727,4,4,3,1,Moderate Activity
U00728,1,1,1,1,Low Activity
U00729,2,2,2,2,Low Activity
U00730,2,2,2,1,Low Activity
U00731,2,2,2,1,Low Activity
U00732,1,1,1,1,Low Activity
U00733,1,1,1,1,Low Activity
U00734,4,4,3,3,Moderate Activity
U00735,2,2,2,1,Low Activity
U00736,1,1,1,1,Low Activity
U00737,2,2,2,2,Low Activity
U00738,3,3,3,2,Moderate Activity
U00739,1,1,1,1,Low Activity
U00740,1,1,1,1,Low Activity
U00741,4,4,3,2,Moderate Activity
U00742,1,1,1,1,Low Activity
U00743,4,4,3,2,Moderate Activity
U00744,1,1,1,1,Low Activity
U00745,2,2,2,1,Low Activity
U00746,2,2,2,1,Low Activity
U00747,1,1,1,1,Low Activity
U00748,2,2,2,1,Low Activity
U00749,1,1,1,1,Low Activity
U00750,1,1,1,1,Low Activity
U00751,1,1,1,1,Low Activity
U00752,13,13,9,3,Very High Activity
U00753,2,2,2,2,Low Activity
U00754,1,1,1,1,Low Activity
U00755,1,1,1,1,Low Activity
U00756,1,1,1,1,Low Activity
U00757,1,1,1,1,Low Activity
U00758,1,1,1,1,Low Activity
