AgeGroup,CourseCategory,CourseLevel,Enrollments,UniqueLearners,ShareWithinAge
18-25,Finance,Beginner,109,97,2.92
18-25,Finance,Intermediate,122,112,3.27
18-25,Machine Learning,Advanced,114,108,3.05
18-25,Machine Learning,Beginner,64,64,1.71
18-25,Machine Learning,Intermediate,127,117,3.4
18-25,Marketing,Advanced,193,166,5.17
18-25,Marketing,Beginner,0,0,0.0
18-25,Marketing,Intermediate,120,112,3.22
18-25,Programming,Advanced,0,0,0.0
18-25,Programming,Beginner,251,197,6.73
18-25,Programming,Intermediate,54,54,1.45
18-25,Project Management,Advanced,60,60,1.61
18-25,Project Management,Beginner,130,120,3.48
18-25,Project Management,Intermediate,106,100,2.84
18-25,Web Development,Advanced,208,178,5.57
18-25,Web Development,Beginner,127,115,3.4
18-25,Web Development,Intermediate,0,0,0.0
26-35,Artificial Intelligence,Advanced,0,0,0.0
26-35,Artificial Intelligence,Beginner,230,196,4.79
26-35,Artificial Intelligence,Intermediate,153,148,3.19
26-35,Business,Advanced,245,218,5.11
26-35,Business,Beginner,89,89,1.85
26-35,Business,Intermediate,72,72,1.5
26-35,Cybersecurity,Advanced,85,85,1.77
26-35,Cybersecurity,Beginner,86,86,1.79
26-35,Cybersecurity,Intermediate,220,199,4.58
26-35,Data Science,Advanced,81,81,1.69
26-35,Data Science,Beginner,179,167,3.73
26-35,Data Science,Intermediate,199,185,4.15
26-35,Design,Advanced,323,260,6.73
26-35,Design,Beginner,73,73,1.52
26-35,Design,Intermediate,0,0,0.0
26-35,Digital Marketing,Advanced,138,134,2.88
26-35,Digital Marketing,Beginner,173,161,3.6
26-35,Digital Marketing,Intermediate,74,74,1.54
26-35,Finance,Advanced,84,84,1.75
26-35,Finance,Beginner,177,168,3.69
26-35,Finance,Intermediate,170,160,3.54
26-35,Machine Learning,Advanced,152,140,3.17
26-35,Machine Learning,Beginner,72,72,1.5
26-35,Machine Learning,Intermediate,170,157,3.54
26-35,Marketing,Advanced,224,197,4.67
26-35,Marketing,Beginner,0,0,0.0
26-35,Marketing,Intermediate,143,133,2.98
26-35,Programming,Advanced,0,0,0.0
26-35,Programming,Beginner,317,260,6.61
26-35,Programming,Intermediate,75,75,1.56
26-35,Project Management,Advanced,85,85,1.77
26-35,Project Management,Beginner,178,164,3.71
26-35,Project Management,Intermediate,155,146,3.23
26-35,Web Development,Advanced,224,194,4.67
26-35,Web Development,Beginner,153,142,3.19
26-35,Web Development,Intermediate,0,0,0.0
36-45,Artificial Intelligence,Advanced,0,0,
36-45,Artificial Intelligence,Beginner,0,0,
36-45,Artificial Intelligence,Intermediate,0,0,
36-45,Business,Advanced,0,0,
36-45,Business,Beginner,0,0,
36-45,Business,Intermediate,0,0,
36-45,Cybersecurity,Advanced,0,0,
36-45,Cybersecurity,Beginner,0,0,
36-45,Cybersecurity,Intermediate,0,0,
36-45,Data Science,Advanced,0,0,
36-45,Data Science,Beginner,0,0,
36-45,Data Science,Intermediate,0,0,
36-45,Design,Advanced,0,0,
36-45,Design,Beginner,0,0,
36-45,Design,Intermediate,0,0,
36-45,Digital Marketing,Advanced,0,0,
36-45,Digital Marketing,Beginner,0,0,
36-45,Digital Marketing,Intermediate,0,0,
36-45,Finance,Advanced,0,0,
36-45,Finance,Beginner,0,0,
36-45,Finance,Intermediate,0,0,
36-45,Machine Learning,Advanced,0,0,
36-45,Machine Learning,Beginner,0,0,
36-45,Machine Learning,Intermediate,0,0,
36-45,Marketing,Advanced,0,0,
36-45,Marketing,Beginner,0,0,
36-45,Marketing,Intermediate,0,0,
36-45,Programming,Advanced,0,0,
36-45,Programming,Beginner,0,0,
36-45,Programming,Intermediate,0,0,
36-45,Project Management,Advanced,0,0,
36-45,Project Management,Beginner,0,0,
36-45,Project Management,Intermediate,0,0,
36-45,Web Development,Advanced,0,0,
36-45,Web Development,Beginner,0,0,
36-45,Web Development,Intermediate,0,0,
45+,Artificial Intelligence,Advanced,0,0,
45+,Artificial Intelligence,Beginner,0,0,
45+,Artificial Intelligence,Intermediate,0,0,
45+,Business,Advanced,0,0,
45+,Business,Beginner,0,0,
45+,Business,Intermediate,0,0,
45+,Cybersecurity,Advanced,0,0,
45+,Cybersecurity,Beginner,0,0,
45+,Cybersecurity,Intermediate,0,0,
45+,Data Science,Advanced,0,0,
45+,Data Science,Beginner,0,0,
45+,Data Science,Intermediate,0,0,
45+,Design,Advanced,0,0,
45+,Design,Beginner,0,0,
45+,Design,Intermediate,0,0,
45+,Digital Marketing,Advanced,0,0,
45+,Digital Marketing,Beginner,0,0,
45+,Digital Marketing,Intermediate,0,0,
45+,Finance,Advanced,0,0,
45+,Finance,Beginner,0,0,
45+,Finance,Intermediate,0,0,
45+,Machine Learning,Advanced,0,0,
45+,Machine Learning,Beginner,0,0,
45+,Machine Learning,Intermediate,0,0,
45+,Marketing,Advanced,0,0,
45+,Marketing,Beginner,0,0,
45+,Marketing,Intermediate,0,0,
45+,Programming,Advanced,0,0,
45+,Programming,Beginner,0,0,
45+,Programming,Intermediate,0,0,
45+,Project Management,Advanced,0,0,
45+,Project Management,Beginner,0,0,
45+,Project Management,Intermediate,0,0,
45+,Web Development,Advanced,0,0,
45+,Web Development,Beginner,0,0,
45+,Web Development,Intermediate,0,0,
